i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,3,5,2,2,2,3,12,23,8,0.3362429141998291,0.00010204315185546875,0.00045561790466308594
1,3,5,2,2,2,4,13,32,9,0.2903423309326172,0.0001933574676513672,0.0012178421020507812
1,3,5,2,2,2,5,17,89,9,0.3793604373931885,0.00011682510375976562,0.0031058788299560547
1,3,5,2,2,2,6,21,162,9,0.47321367263793945,0.0002524852752685547,0.021543025970458984
1,4,5,2,2,2,4,15,36,16,0.34145045280456543,0.00015401840209960938,0.0021216869354248047
1,4,5,2,2,2,5,19,77,16,0.462352991104126,0.00017786026000976562,0.007177829742431641
1,4,5,2,2,2,6,20,94,17,0.49376893043518066,0.0001270771026611328,0.007322788238525391
1,4,5,2,2,2,7,24,143,17,0.5803322792053223,0.00019884109497070312,0.0267031192779541
1,4,5,2,2,2,8,28,216,17,1.78226637840271,0.0003337860107421875,0.06753396987915039
1,5,5,2,2,2,5,18,41,32,1.287336826324463,0.0003008842468261719,0.0043871402740478516
1,5,5,2,2,2,6,19,50,33,1.569716453552246,0.0003018379211425781,0.005723237991333008
1,5,5,2,2,2,7,23,83,33,1.00766921043396,0.0001456737518310547,0.009239435195922852
1,5,5,2,2,2,8,27,132,33,0.624765157699585,0.0001735687255859375,0.030716657638549805
1,5,5,2,2,2,9,31,197,33,0.7086434364318848,0.00020313262939453125,0.07494831085205078
1,5,5,2,2,2,10,35,270,33,0.8459525108337402,0.0003113746643066406,0.20283198356628418
1,6,5,2,2,2,6,21,36,64,0.4669208526611328,0.00020241737365722656,0.009787321090698242
1,6,5,2,2,2,7,25,59,64,0.6011695861816406,0.0001423358917236328,0.017603158950805664
1,6,5,2,2,2,8,26,72,69,0.4815192222595215,0.00016260147094726562,0.021485090255737305
1,6,5,2,2,2,9,30,121,81,0.9207127094268799,0.00029349327087402344,0.08783292770385742
1,6,5,2,2,2,10,34,162,65,0.8672780990600586,0.0002589225769042969,0.2092280387878418
1,6,5,2,2,2,11,38,219,65,0.8730819225311279,0.0004124641418457031,0.43903303146362305
1,6,5,2,2,2,12,42,324,65,1.0440647602081299,0.0002651214599609375,1.2254445552825928
2,3,5,2,2,2,3,9,0,0,0.31758642196655273,0.00010967254638671875,4.363059997558594e-05
2,3,5,2,2,2,4,13,0,0,0.420931339263916,0.00011086463928222656,3.5762786865234375e-05
2,3,5,2,2,2,5,17,0,0,0.48415303230285645,0.00015616416931152344,4.744529724121094e-05
2,3,5,2,2,2,6,21,0,0,0.5499069690704346,0.0001392364501953125,3.62396240234375e-05
2,4,5,2,2,2,4,15,0,0,0.4468228816986084,0.00010228157043457031,3.409385681152344e-05
2,4,5,2,2,2,5,16,0,0,0.44416141510009766,0.00013113021850585938,3.814697265625e-05
2,4,5,2,2,2,6,20,0,0,0.6161787509918213,0.00013685226440429688,3.552436828613281e-05
2,4,5,2,2,2,7,24,0,0,0.7204535007476807,0.00016689300537109375,3.838539123535156e-05
2,4,5,2,2,2,8,28,0,0,0.8102414608001709,0.00016880035400390625,3.600120544433594e-05
2,5,5,2,2,2,5,18,0,0,0.493549108505249,0.00011515617370605469,3.266334533691406e-05
2,5,5,2,2,2,6,19,0,0,0.5404839515686035,0.00012373924255371094,3.266334533691406e-05
2,5,5,2,2,2,7,23,0,0,0.6780252456665039,0.00015115737915039062,3.552436828613281e-05
2,5,5,2,2,2,8,27,0,0,0.870128870010376,0.00018405914306640625,3.886222839355469e-05
2,5,5,2,2,2,9,31,0,0,1.067641258239746,0.0004279613494873047,7.987022399902344e-05
2,5,5,2,2,2,10,35,0,0,1.188004970550537,0.00020432472229003906,3.910064697265625e-05
2,6,5,2,2,2,6,18,0,0,0.613415002822876,0.0001468658447265625,4.1961669921875e-05
2,6,5,2,2,2,7,22,0,0,0.7130670547485352,0.00014090538024902344,3.314018249511719e-05
