i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,5,5,4,2,2,9,7,1,0.1350715160369873,7.390975952148438e-05,5.435943603515625e-05
1,5,5,3,2,2,10,10,1,0.16344809532165527,9.202957153320312e-05,0.00010013580322265625
2,5,5,4,2,2,9,7,1,0.1497354507446289,8.082389831542969e-05,6.818771362304688e-05
2,5,5,3,2,2,10,10,1,0.16683411598205566,0.0001533031463623047,0.00013303756713867188
3,5,5,4,2,2,14,11,2,0.15312695503234863,7.319450378417969e-05,0.00011968612670898438
3,5,5,3,2,2,15,15,1,0.1840200424194336,9.512901306152344e-05,0.00017523765563964844
4,5,5,4,2,2,9,7,1,0.1667170524597168,9.751319885253906e-05,5.793571472167969e-05
4,5,5,3,2,2,10,10,1,0.15353035926818848,0.0001506805419921875,0.0001385211944580078
5,5,5,4,2,2,9,7,1,0.13411784172058105,7.796287536621094e-05,5.53131103515625e-05
5,5,5,3,2,2,10,10,1,0.15431499481201172,0.000164031982421875,0.0001583099365234375
6,5,5,4,2,2,9,7,1,0.18742680549621582,8.0108642578125e-05,5.6743621826171875e-05
6,5,5,3,2,2,10,10,1,0.19982481002807617,8.726119995117188e-05,8.082389831542969e-05
7,5,5,4,2,2,14,11,2,0.18914413452148438,7.43865966796875e-05,8.0108642578125e-05
7,5,5,3,2,2,15,15,1,0.19017338752746582,9.560585021972656e-05,0.00012493133544921875
8,5,5,4,2,2,14,11,2,0.16408252716064453,0.0001404285430908203,9.465217590332031e-05
8,5,5,3,2,2,15,15,1,0.15856409072875977,9.250640869140625e-05,0.00012302398681640625
9,5,5,4,2,2,14,22,32,0.15150117874145508,8.106231689453125e-05,0.00044465065002441406
9,5,5,3,2,2,15,30,32,0.19392967224121094,0.00014972686767578125,0.002395153045654297
10,5,5,4,2,2,9,7,1,0.14218997955322266,0.00012683868408203125,9.512901306152344e-05
10,5,5,3,2,2,10,10,1,0.1304488182067871,8.654594421386719e-05,0.00011897087097167969
11,5,5,4,2,2,9,7,1,0.14494991302490234,7.224082946777344e-05,5.2928924560546875e-05
11,5,5,3,2,2,10,10,1,0.16185498237609863,0.00012803077697753906,0.00011181831359863281
12,5,5,4,2,2,13,10,1,0.2583942413330078,9.441375732421875e-05,7.367134094238281e-05
12,5,5,3,2,2,15,15,1,0.2769958972930908,8.559226989746094e-05,0.00011754035949707031
13,5,5,4,2,2,9,7,1,0.2465221881866455,0.0001289844512939453,0.00012373924255371094
13,5,5,3,2,2,10,10,1,0.2611734867095947,0.00015544891357421875,0.00013709068298339844
14,5,5,4,2,2,9,7,1,0.15166711807250977,8.368492126464844e-05,5.984306335449219e-05
14,5,5,3,2,2,10,10,1,0.16703128814697266,9.036064147949219e-05,7.963180541992188e-05
15,5,5,4,2,2,18,28,32,0.19696807861328125,9.632110595703125e-05,0.0006594657897949219
15,5,5,3,2,2,20,40,32,0.22628355026245117,0.00010514259338378906,0.002748250961303711
16,5,5,4,2,2,9,7,1,0.14101052284240723,7.748603820800781e-05,5.507469177246094e-05
16,5,5,3,2,2,10,10,1,0.15432500839233398,0.00010514259338378906,8.20159912109375e-05
17,5,5,4,2,2,19,15,3,0.18960189819335938,8.845329284667969e-05,0.00011658668518066406
17,5,5,3,2,2,20,20,1,0.203355073928833,9.5367431640625e-05,0.0001697540283203125
18,5,5,4,2,2,9,7,1,0.12904071807861328,7.843971252441406e-05,5.602836608886719e-05
18,5,5,3,2,2,10,10,1,0.1514594554901123,8.893013000488281e-05,7.915496826171875e-05
19,5,5,4,2,2,14,11,2,0.16108131408691406,7.796287536621094e-05,8.034706115722656e-05
19,5,5,3,2,2,15,15,1,0.1770610809326172,8.726119995117188e-05,0.00011515617370605469
20,5,5,4,2,2,14,22,32,0.17547035217285156,0.00013685226440429688,0.000629425048828125
20,5,5,3,2,2,15,30,32,0.19241786003112793,9.226799011230469e-05,0.0012552738189697266
21,5,5,4,2,2,19,15,3,0.19027185440063477,8.749961853027344e-05,0.00018715858459472656
21,5,5,3,2,2,20,20,1,0.2104201316833496,8.654594421386719e-05,0.00019073486328125
22,5,5,4,2,2,33,66,324,0.286332368850708,9.202957153320312e-05,0.00635218620300293
22,5,5,3,2,2,35,90,243,0.3015625476837158,0.00010228157043457031,0.03440499305725098
23,5,5,4,2,2,14,11,2,0.201507568359375,8.344650268554688e-05,8.440017700195312e-05
23,5,5,3,2,2,15,15,1,0.18786978721618652,9.369850158691406e-05,0.00011777877807617188
24,5,5,4,2,2,9,7,1,0.13658761978149414,7.915496826171875e-05,5.555152893066406e-05
24,5,5,3,2,2,10,10,1,0.13953781127929688,8.702278137207031e-05,9.059906005859375e-05
25,5,5,4,2,2,13,20,16,0.13865280151367188,8.368492126464844e-05,0.00022554397583007812
25,5,5,3,2,2,15,30,32,0.1642148494720459,9.775161743164062e-05,0.001373291015625
26,5,5,4,2,2,14,22,32,0.1731107234954834,8.034706115722656e-05,0.0003933906555175781
26,5,5,3,2,2,15,30,32,0.2097320556640625,9.608268737792969e-05,0.0013012886047363281
27,5,5,4,2,2,9,7,1,0.1356813907623291,9.298324584960938e-05,5.7697296142578125e-05
27,5,5,3,2,2,10,10,1,0.14871716499328613,8.96453857421875e-05,7.963180541992188e-05
28,5,5,4,2,2,18,28,32,0.2068631649017334,9.393692016601562e-05,0.0005984306335449219
28,5,5,3,2,2,20,40,32,0.24218487739562988,0.00010204315185546875,0.0027980804443359375
29,5,5,4,2,2,9,7,1,0.17523813247680664,0.00011467933654785156,5.4836273193359375e-05
29,5,5,3,2,2,10,10,1,0.18900609016418457,0.0001285076141357422,0.00011754035949707031
30,5,5,4,2,2,9,7,1,0.1602475643157959,0.00010061264038085938,8.654594421386719e-05
30,5,5,3,2,2,10,10,1,0.186859130859375,0.00011587142944335938,0.00010633468627929688
