i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
1,6,5,2,2,2,6,1,1,0.4121007839567028,18.0,,
1,6,5,2,2,2,6,1,2,0.17770818498684093,18.0,,
1,6,5,2,2,2,6,1,3,0.17535766900982708,18.0,,
1,6,5,2,2,2,6,2,1,0.00033403595443814993,,30.0,
1,6,5,2,2,2,6,2,2,0.1179316730122082,,30.0,
1,6,5,2,2,2,6,2,3,0.11554686696035787,,30.0,
1,6,5,2,2,2,6,3,1,0.0012610310222953558,,,19.0
1,6,5,2,2,2,6,3,2,0.5131703279912472,,,19.0
1,6,5,2,2,2,6,3,3,0.5249649389879778,,,19.0
1,6,10,2,2,2,6,1,1,0.9748695280286483,39.0,,
1,6,10,2,2,2,6,1,2,0.5694935789797455,39.0,,
1,6,10,2,2,2,6,1,3,0.5407696170150302,39.0,,
1,6,10,2,2,2,6,2,1,0.00037173402961343527,,99.0,
1,6,10,2,2,2,6,2,2,0.13557992805726826,,99.0,
1,6,10,2,2,2,6,2,3,0.12793742696521804,,99.0,
1,6,10,2,2,2,6,3,1,0.16815847397083417,,,729.0
1,6,10,2,2,2,6,3,2,0.7098909479682334,,,729.0
1,6,10,2,2,2,6,3,3,0.6267556149978191,,,729.0
1,6,15,2,2,2,6,1,1,1.5798798429896124,30.0,,
1,6,15,2,2,2,6,1,2,0.4214109559543431,30.0,,
1,6,15,2,2,2,6,1,3,0.40092466201167554,30.0,,
1,6,15,2,2,2,6,2,1,0.0004849290126003325,,96.0,
1,6,15,2,2,2,6,2,2,0.16057778103277087,,96.0,
1,6,15,2,2,2,6,2,3,0.16365339601179585,,96.0,
1,6,15,2,2,2,6,3,1,0.07324523199349642,,,4096.0
1,6,15,2,2,2,6,3,2,0.7078049029805698,,,4096.0
1,6,15,2,2,2,6,3,3,0.6861891300068237,,,4096.0
1,6,20,2,2,2,6,1,1,2.1317061689915136,24.0,,
1,6,20,2,2,2,6,1,2,0.5524578030453995,24.0,,
1,6,20,2,2,2,6,1,3,0.5088446379522793,24.0,,
1,6,20,2,2,2,6,2,1,0.0004933889722451568,,48.0,
1,6,20,2,2,2,6,2,2,0.17351053899619728,,48.0,
1,6,20,2,2,2,6,2,3,0.2024940259871073,,48.0,
1,6,20,2,2,2,6,3,1,0.0052744229906238616,,,64.0
1,6,20,2,2,2,6,3,2,0.608434877009131,,,64.0
1,6,20,2,2,2,6,3,3,0.5796428070170805,,,64.0
1,6,25,2,2,2,6,1,1,6.155100926000159,36.0,,
1,6,25,2,2,2,6,1,2,1.4699697869946249,36.0,,
1,6,25,2,2,2,6,1,3,1.4177313030231744,36.0,,
1,6,25,2,2,2,6,2,1,0.0006992289563640952,,24.0,
1,6,25,2,2,2,6,2,2,0.2631665429798886,,24.0,
1,6,25,2,2,2,6,2,3,0.25687945500249043,,24.0,
1,6,25,2,2,2,6,3,1,0.0016119639622047544,,,64.0
1,6,25,2,2,2,6,3,2,0.5625301499967463,,,64.0
1,6,25,2,2,2,6,3,3,0.5587494510109536,,,64.0
1,6,30,2,2,2,6,1,1,6.8252380969934165,39.0,,
1,6,30,2,2,2,6,1,2,2.4255568599910475,39.0,,
1,6,30,2,2,2,6,1,3,2.4397781169973314,39.0,,
1,6,30,2,2,2,6,2,1,0.0007800780003890395,,105.0,
1,6,30,2,2,2,6,2,2,0.29549344500992447,,105.0,
1,6,30,2,2,2,6,2,3,0.29937137896195054,,105.0,
1,6,30,2,2,2,6,3,1,0.12750125699676573,,,729.0
1,6,30,2,2,2,6,3,2,0.6499402829795144,,,729.0
1,6,30,2,2,2,6,3,3,0.6334256829577498,,,729.0
2,6,5,2,2,2,6,1,1,0.39011766703333706,18.0,,
2,6,5,2,2,2,6,1,2,0.2243574850144796,18.0,,
2,6,5,2,2,2,6,1,3,0.22827410395257175,18.0,,
2,6,5,2,2,2,6,2,1,0.0004113829927518964,,28.0,
2,6,5,2,2,2,6,2,2,0.13492054800735787,,28.0,
2,6,5,2,2,2,6,2,3,0.12846943299518898,,28.0,
2,6,5,2,2,2,6,3,1,0.0002475499641150236,,,1.0
2,6,5,2,2,2,6,3,2,0.5693250590120442,,,1.0
2,6,5,2,2,2,6,3,3,0.5596311850240454,,,1.0
2,6,10,2,2,2,6,1,1,0.4609073650208302,12.0,,
2,6,10,2,2,2,6,1,2,0.2190897690015845,12.0,,
2,6,10,2,2,2,6,1,3,0.20413028803886846,12.0,,
2,6,10,2,2,2,6,2,1,0.0002753199660219252,,12.0,
2,6,10,2,2,2,6,2,2,0.13104844704503193,,12.0,
2,6,10,2,2,2,6,2,3,0.1388274939963594,,12.0,
