i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
1,3,5,2,2,2,3,1,1,0.19842524400155526,6.0,,
1,3,5,2,2,2,3,1,2,0.1508114669995848,6.0,,
1,3,5,2,2,2,3,1,3,0.1988361999974586,6.0,,
1,3,5,2,2,2,3,2,1,0.00020623400632757694,,6.0,
1,3,5,2,2,2,3,2,2,0.09762084898829926,,6.0,
1,3,5,2,2,2,3,2,3,0.10605004899844062,,6.0,
1,3,5,2,2,2,3,3,1,0.00013752000813838094,,,2.0
1,3,5,2,2,2,3,3,2,0.20679749800183345,,,2.0
1,3,5,2,2,2,3,3,3,0.1987102079874603,,,2.0
1,4,5,2,2,2,4,1,1,0.2800716080091661,9.0,,
1,4,5,2,2,2,4,1,2,0.26147170300828293,9.0,,
1,4,5,2,2,2,4,1,3,0.24039795600401703,9.0,,
1,4,5,2,2,2,4,2,1,0.0003019059950020164,,13.0,
1,4,5,2,2,2,4,2,2,0.10717019699222874,,13.0,
1,4,5,2,2,2,4,2,3,0.09438575300737284,,13.0,
1,4,5,2,2,2,4,3,1,0.00019363898900337517,,,1.0
1,4,5,2,2,2,4,3,2,0.2888022849947447,,,1.0
1,4,5,2,2,2,4,3,3,0.29438767000101507,,,1.0
1,5,5,2,2,2,5,1,1,0.41412995000428054,13.0,,
1,5,5,2,2,2,5,1,2,0.23365953100437764,13.0,,
1,5,5,2,2,2,5,1,3,0.2317905130039435,13.0,,
1,5,5,2,2,2,5,2,1,0.00030538700229953974,,27.0,
1,5,5,2,2,2,5,2,2,0.09807922299660277,,27.0,
1,5,5,2,2,2,5,2,3,0.1164549259992782,,27.0,
1,5,5,2,2,2,5,3,1,0.00027861000853590667,,,1.0
1,5,5,2,2,2,5,3,2,0.4636742339935154,,,1.0
1,5,5,2,2,2,5,3,3,0.49349037499632686,,,1.0
1,6,5,2,2,2,6,1,1,0.44963475898839533,15.0,,
1,6,5,2,2,2,6,1,2,0.37589484099589754,15.0,,
1,6,5,2,2,2,6,1,3,0.2538974619965302,15.0,,
1,6,5,2,2,2,6,2,1,0.00031928600219544023,,30.0,
1,6,5,2,2,2,6,2,2,0.10907613500603475,,30.0,
1,6,5,2,2,2,6,2,3,0.1045036900031846,,30.0,
1,6,5,2,2,2,6,3,1,0.0003292280016466975,,,1.0
1,6,5,2,2,2,6,3,2,0.5516802399943117,,,1.0
1,6,5,2,2,2,6,3,3,0.5526133950043004,,,1.0
1,7,5,2,2,2,7,1,1,0.5948496680066455,19.0,,
1,7,5,2,2,2,7,1,2,0.23586735999560915,19.0,,
1,7,5,2,2,2,7,1,3,0.23164198800805025,19.0,,
1,7,5,2,2,2,7,2,1,0.00046388099144678563,,43.0,
1,7,5,2,2,2,7,2,2,0.11512119900726248,,43.0,
1,7,5,2,2,2,7,2,3,0.12569730399991386,,43.0,
1,7,5,2,2,2,7,3,1,0.0004464670055313036,,,1.0
