i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
2,7,8,2,2,2,7,1,2,0.7825393789998998,45.0,,
2,7,8,2,2,2,7,1,3,0.7622448199999781,45.0,,
2,7,8,2,2,2,7,2,1,0.0005921050001234107,,126.0,
2,7,8,2,2,2,7,2,2,0.5341227839999192,,126.0,
2,7,8,2,2,2,7,2,3,0.5251854879998064,,126.0,
2,7,8,2,2,2,7,3,1,0.10405136400004267,,,2187.0
2,7,8,2,2,2,7,3,2,3.129250248000062,,,2187.0
2,7,8,2,2,2,7,3,3,3.1159730120002678,,,2187.0
2,7,9,2,2,2,7,1,1,0.805678055000044,24.0,,
2,7,9,2,2,2,7,1,2,0.7612916719999703,24.0,,
2,7,9,2,2,2,7,1,3,0.8250562299999729,24.0,,
2,7,9,2,2,2,7,2,1,0.00042540100002952386,,0.0,
2,7,9,2,2,2,7,2,2,0.5601614689999224,,0.0,
2,7,9,2,2,2,7,2,3,0.5346366170001602,,0.0,
2,7,9,2,2,2,7,3,1,0.00010454099992784904,,,0.0
2,7,9,2,2,2,7,3,2,0.48222156699966945,,,0.0
2,7,9,2,2,2,7,3,3,0.00014785399980610237,,,0.0
2,7,10,2,2,2,7,1,1,0.6883156369999597,15.0,,
2,7,10,2,2,2,7,1,2,0.7075311700000384,15.0,,
2,7,10,2,2,2,7,1,3,0.6881308319998425,15.0,,
2,7,10,2,2,2,7,2,1,0.00036743600003319443,,17.0,
2,7,10,2,2,2,7,2,2,0.5252154959998734,,17.0,
2,7,10,2,2,2,7,2,3,0.5293409750001956,,17.0,
2,7,10,2,2,2,7,3,1,0.0002266609999423963,,,1.0
2,7,10,2,2,2,7,3,2,3.072298402999877,,,1.0
2,7,10,2,2,2,7,3,3,2.9998141420001048,,,1.0
3,7,5,2,2,2,7,1,1,0.47917999099990993,28.0,,
3,7,5,2,2,2,7,1,2,0.5760911209999904,28.0,,
3,7,5,2,2,2,7,1,3,0.5815901390001272,28.0,,
3,7,5,2,2,2,7,2,1,0.0004335050002737262,,84.0,
3,7,5,2,2,2,7,2,2,0.5146824180001204,,84.0,
3,7,5,2,2,2,7,2,3,0.5035764780000136,,84.0,
3,7,5,2,2,2,7,3,1,0.15559698700008084,,,2187.0
3,7,5,2,2,2,7,3,2,3.1024059020001005,,,2187.0
3,7,5,2,2,2,7,3,3,2.8546071340001618,,,2187.0
3,7,6,2,2,2,7,1,1,0.6530268989999968,35.0,,
3,7,6,2,2,2,7,1,2,0.5263527540000723,35.0,,
3,7,6,2,2,2,7,1,3,0.536875192000025,35.0,,
3,7,6,2,2,2,7,2,1,0.00047022099988680566,,105.0,
3,7,6,2,2,2,7,2,2,0.4507749710001008,,105.0,
3,7,6,2,2,2,7,2,3,0.45719499599999835,,105.0,
3,7,6,2,2,2,7,3,1,0.237898105000113,,,2187.0
3,7,6,2,2,2,7,3,2,2.811412388000008,,,2187.0
3,7,6,2,2,2,7,3,3,2.5701337649998095,,,2187.0
3,7,7,2,2,2,7,1,1,0.5449122420000094,28.0,,
3,7,7,2,2,2,7,1,2,0.4481351879999238,28.0,,
3,7,7,2,2,2,7,1,3,0.46923097699982463,28.0,,
3,7,7,2,2,2,7,2,1,0.0003570980002223223,,56.0,
3,7,7,2,2,2,7,2,2,0.3860115509996831,,56.0,
3,7,7,2,2,2,7,2,3,0.37781227799996486,,56.0,
3,7,7,2,2,2,7,3,1,0.011953560000165453,,,128.0
3,7,7,2,2,2,7,3,2,2.2211199759999545,,,128.0
3,7,7,2,2,2,7,3,3,2.189934025999719,,,128.0
3,7,8,2,2,2,7,1,1,1.176528975999645,63.0,,
3,7,8,2,2,2,7,1,2,0.7001731479999762,63.0,,
3,7,8,2,2,2,7,1,3,0.8276711560001786,63.0,,
3,7,8,2,2,2,7,2,1,0.0010444620002090232,,322.0,
3,7,8,2,2,2,7,2,2,0.5088884289998532,,322.0,
3,7,8,2,2,2,7,2,3,0.5071402389999093,,322.0,
3,7,8,2,2,2,7,3,1,8.952905512999678,,,22563.0
3,7,8,2,2,2,7,3,2,5.8248167609999655,,,22563.0
3,7,8,2,2,2,7,3,3,5.903145776999736,,,22563.0
3,7,9,2,2,2,7,1,1,0.8411296350000157,30.0,,
3,7,9,2,2,2,7,1,2,0.5973499540000375,30.0,,
3,7,9,2,2,2,7,1,3,0.6085710110000946,30.0,,
3,7,9,2,2,2,7,2,1,0.0006177310001476144,,74.0,
3,7,9,2,2,2,7,2,2,0.3565802960001747,,74.0,
3,7,9,2,2,2,7,2,3,0.36407715099994675,,74.0,
3,7,9,2,2,2,7,3,1,0.01445308499978637,,,128.0
3,7,9,2,2,2,7,3,2,2.095582361000197,,,128.0
3,7,9,2,2,2,7,3,3,2.0778662839998105,,,128.0
3,7,10,2,2,2,7,1,1,3.2876050270001542,90.0,,
3,7,10,2,2,2,7,1,2,1.315558047000195,90.0,,
3,7,10,2,2,2,7,1,3,1.3128771399997277,90.0,,
3,7,10,2,2,2,7,2,1,0.0008850930003063695,,744.0,
3,7,10,2,2,2,7,2,2,0.24100239500012322,,744.0,
3,7,10,2,2,2,7,2,3,0.2595464470000479,,744.0,
3,7,10,2,2,2,7,3,1,1907.6521330609999,,,2097152.0
3,7,10,2,2,2,7,3,2,750.7114453439999,,,2097152.0
3,7,10,2,2,2,7,3,3,767.4814249790006,,,2097152.0
4,7,5,2,2,2,7,1,1,0.3422964699993827,21.0,,
4,7,5,2,2,2,7,1,2,1.6404343189997235,21.0,,
4,7,5,2,2,2,7,1,3,1.414410121000401,21.0,,
4,7,5,2,2,2,7,2,1,0.0003669179995995364,,21.0,
4,7,5,2,2,2,7,2,2,1.2569189040004858,,21.0,
4,7,5,2,2,2,7,2,3,1.418681905000085,,21.0,
4,7,5,2,2,2,7,3,1,0.0006965100001252722,,,17.0
4,7,5,2,2,2,7,3,2,8.927018018000126,,,17.0
4,7,5,2,2,2,7,3,3,8.663667787000122,,,17.0
4,7,6,2,2,2,7,1,1,1.017170017999888,75.0,,
4,7,6,2,2,2,7,1,2,1.7037820179994014,75.0,,
4,7,6,2,2,2,7,1,3,1.7614451089993963,75.0,,
4,7,6,2,2,2,7,2,1,0.001141730000199459,,553.0,
4,7,6,2,2,2,7,2,2,1.3970374659993468,,553.0,
4,7,6,2,2,2,7,2,3,1.4367913480000425,,553.0,
4,7,6,2,2,2,7,3,1,329.4622464060003,,,559013.0
4,7,6,2,2,2,7,3,2,139.68077380799969,,,559013.0
4,7,6,2,2,2,7,3,3,142.58177304399942,,,559013.0
4,7,7,2,2,2,7,1,1,0.5151766870003485,23.0,,
4,7,7,2,2,2,7,1,2,0.7779052910000246,23.0,,
4,7,7,2,2,2,7,1,3,0.7945191149992752,23.0,,
4,7,7,2,2,2,7,2,1,0.0003649520003818907,,33.0,
4,7,7,2,2,2,7,2,2,0.6481485439999233,,33.0,
4,7,7,2,2,2,7,2,3,0.7710976110001866,,33.0,
4,7,7,2,2,2,7,3,1,0.0010145989999728044,,,3.0
4,7,7,2,2,2,7,3,2,3.702879729000415,,,3.0
4,7,7,2,2,2,7,3,3,3.7446229420002055,,,3.0
4,7,8,2,2,2,7,1,1,0.8103317660006724,30.0,,
4,7,8,2,2,2,7,1,2,0.9517157769996629,30.0,,
4,7,8,2,2,2,7,1,3,0.9329681780000101,30.0,,
4,7,8,2,2,2,7,2,1,0.0005143050002516247,,76.0,
4,7,8,2,2,2,7,2,2,0.8435567619999347,,76.0,
4,7,8,2,2,2,7,2,3,0.846295148999161,,76.0,
4,7,8,2,2,2,7,3,1,0.018336070999794174,,,128.0
4,7,8,2,2,2,7,3,2,4.723397306999686,,,128.0
4,7,8,2,2,2,7,3,3,3.8185786310004914,,,128.0
4,7,9,2,2,2,7,1,1,1.858177742999942,69.0,,
4,7,9,2,2,2,7,1,2,1.329257843999585,69.0,,
4,7,9,2,2,2,7,1,3,1.2892330229997242,69.0,,
4,7,9,2,2,2,7,2,1,0.0010462229993208894,,378.0,
4,7,9,2,2,2,7,2,2,0.6674500799999805,,378.0,
4,7,9,2,2,2,7,2,3,0.6680996680006501,,378.0,
4,7,9,2,2,2,7,3,1,146.33656373600024,,,272664.0
4,7,9,2,2,2,7,3,2,65.83301408999978,,,272664.0
4,7,9,2,2,2,7,3,3,66.11926940400008,,,272664.0
4,7,10,2,2,2,7,1,1,3.4438178809996316,99.0,,
4,7,10,2,2,2,7,1,2,1.4930538960006743,99.0,,
4,7,10,2,2,2,7,1,3,1.5001291739999942,99.0,,
4,7,10,2,2,2,7,2,1,0.0010680420000426238,,441.0,
4,7,10,2,2,2,7,2,2,0.3040760459998637,,441.0,
4,7,10,2,2,2,7,2,3,0.30720121300055325,,441.0,
4,7,10,2,2,2,7,3,1,19.61313597299977,,,11907.0
4,7,10,2,2,2,7,3,2,9.194228033999934,,,11907.0
4,7,10,2,2,2,7,3,3,9.296883054999853,,,11907.0
5,7,5,2,2,2,7,1,1,0.4283450639995863,21.0,,
5,7,5,2,2,2,7,1,2,0.3714083329996356,21.0,,
5,7,5,2,2,2,7,1,3,0.39018037999994704,21.0,,
5,7,5,2,2,2,7,2,1,0.0004023460005555535,,27.0,
5,7,5,2,2,2,7,2,2,0.2745007989997248,,27.0,
5,7,5,2,2,2,7,2,3,0.27142157499929453,,27.0,
5,7,5,2,2,2,7,3,1,0.0003014780004377826,,,1.0
5,7,5,2,2,2,7,3,2,1.5019810479998341,,,1.0
5,7,5,2,2,2,7,3,3,1.5018323659996895,,,1.0
5,7,6,2,2,2,7,1,1,0.7611128339995048,42.0,,
5,7,6,2,2,2,7,1,2,0.4283539889993335,42.0,,
5,7,6,2,2,2,7,1,3,0.37655222000012145,42.0,,
5,7,6,2,2,2,7,2,1,0.0005357959998946171,,98.0,
5,7,6,2,2,2,7,2,2,0.2776970889999575,,98.0,
5,7,6,2,2,2,7,2,3,0.2716209059999528,,98.0,
5,7,6,2,2,2,7,3,1,0.046133871999700204,,,144.0
5,7,6,2,2,2,7,3,2,1.5448698870004591,,,144.0
5,7,6,2,2,2,7,3,3,1.7673080549993756,,,144.0
5,7,7,2,2,2,7,1,1,0.8376369249999698,24.0,,
5,7,7,2,2,2,7,1,2,0.43219209800008684,24.0,,
5,7,7,2,2,2,7,1,3,0.4694400329999553,24.0,,
5,7,7,2,2,2,7,2,1,0.0004177470000286121,,0.0,
5,7,7,2,2,2,7,2,2,0.27699215799930244,,0.0,
5,7,7,2,2,2,7,2,3,0.25742950800031394,,0.0,
5,7,7,2,2,2,7,3,1,9.926899929268984e-05,,,0.0
5,7,7,2,2,2,7,3,2,0.24526793899985933,,,0.0
5,7,7,2,2,2,7,3,3,0.00016342700018867617,,,0.0
5,7,8,2,2,2,7,1,1,0.5651357269998698,16.0,,
5,7,8,2,2,2,7,1,2,0.4289411999998265,16.0,,
5,7,8,2,2,2,7,1,3,0.42735747499955323,16.0,,
5,7,8,2,2,2,7,2,1,0.0003795890006585978,,20.0,
5,7,8,2,2,2,7,2,2,0.27738078699985635,,20.0,
5,7,8,2,2,2,7,2,3,0.24795684699984122,,20.0,
5,7,8,2,2,2,7,3,1,0.0002760900006251177,,,2.0
5,7,8,2,2,2,7,3,2,1.4609454409992395,,,2.0
5,7,8,2,2,2,7,3,3,1.4571911459997864,,,2.0
5,7,9,2,2,2,7,1,1,2.332594868999877,84.0,,
5,7,9,2,2,2,7,1,2,0.818167213000379,84.0,,
5,7,9,2,2,2,7,1,3,0.9533319860001939,84.0,,
5,7,9,2,2,2,7,2,1,0.00088557400067657,,276.0,
5,7,9,2,2,2,7,2,2,0.32599059299991495,,276.0,
5,7,9,2,2,2,7,2,3,0.298048626000309,,276.0,
5,7,9,2,2,2,7,3,1,10.175450312000066,,,54272.0
5,7,9,2,2,2,7,3,2,5.638364964000175,,,54272.0
5,7,9,2,2,2,7,3,3,5.781027286000608,,,54272.0
5,7,10,2,2,2,7,1,1,0.9433990559991798,30.0,,
5,7,10,2,2,2,7,1,2,0.4990969419995963,30.0,,
5,7,10,2,2,2,7,1,3,0.4828797239997584,30.0,,
5,7,10,2,2,2,7,2,1,0.0003929620006601908,,56.0,
5,7,10,2,2,2,7,2,2,0.24219470099978935,,56.0,
5,7,10,2,2,2,7,2,3,0.24088832200050092,,56.0,
5,7,10,2,2,2,7,3,1,0.005970905000140192,,,128.0
5,7,10,2,2,2,7,3,2,1.3154499620004572,,,128.0
5,7,10,2,2,2,7,3,3,1.3840645149994089,,,128.0
6,7,5,2,2,2,7,1,1,0.40631556199969054,14.0,,
6,7,5,2,2,2,7,1,2,0.3095123609991788,14.0,,
6,7,5,2,2,2,7,1,3,0.29975289199956023,14.0,,
6,7,5,2,2,2,7,2,1,0.0003250270001444733,,14.0,
6,7,5,2,2,2,7,2,2,0.23260377099995821,,14.0,
6,7,5,2,2,2,7,2,3,0.22912765099954413,,14.0,
6,7,5,2,2,2,7,3,1,0.00027807100013887975,,,1.0
6,7,5,2,2,2,7,3,2,1.2918167889993128,,,1.0
6,7,5,2,2,2,7,3,3,1.27357672800008,,,1.0
6,7,6,2,2,2,7,1,1,0.7242440680001891,42.0,,
6,7,6,2,2,2,7,1,2,0.417403135999848,42.0,,
6,7,6,2,2,2,7,1,3,0.3307813370001895,42.0,,
6,7,6,2,2,2,7,2,1,0.00047248000009858515,,105.0,
6,7,6,2,2,2,7,2,2,0.3366272570001456,,105.0,
6,7,6,2,2,2,7,2,3,0.4537855500002479,,105.0,
6,7,6,2,2,2,7,3,1,0.08062916700055212,,,432.0
6,7,6,2,2,2,7,3,2,1.4883258029994977,,,432.0
6,7,6,2,2,2,7,3,3,1.4049365529999704,,,432.0
6,7,7,2,2,2,7,1,1,0.9793576470001426,42.0,,
6,7,7,2,2,2,7,1,2,0.535788211000181,42.0,,
6,7,7,2,2,2,7,1,3,0.5347579789995507,42.0,,
6,7,7,2,2,2,7,2,1,0.0005897069995626225,,111.0,
6,7,7,2,2,2,7,2,2,0.2583587750004881,,111.0,
