i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
1,3,5,2,2,2,3,1,1,0.23324910299561452,6.0,,
1,3,5,2,2,2,3,1,2,0.1847067899943795,6.0,,
1,3,5,2,2,2,3,1,3,0.18194311299885157,6.0,,
1,3,5,2,2,2,3,2,1,0.0003019639989361167,,0.0,
1,3,5,2,2,2,3,2,2,0.11591119400691241,,0.0,
1,3,5,2,2,2,3,2,3,0.1137091499986127,,0.0,
1,3,5,2,2,2,3,3,1,0.00010689398914109915,,,0.0
1,3,5,2,2,2,3,3,2,0.09856406200560741,,,0.0
1,3,5,2,2,2,3,3,3,0.00015155799337662756,,,0.0
1,4,5,2,2,2,4,1,1,0.4379953879979439,9.0,,
1,4,5,2,2,2,4,1,2,0.31286564299080055,9.0,,
1,4,5,2,2,2,4,1,3,0.329069862011238,9.0,,
1,4,5,2,2,2,4,2,1,0.00044237999827601016,,0.0,
1,4,5,2,2,2,4,2,2,0.12375593099568505,,0.0,
1,4,5,2,2,2,4,2,3,0.11698190998868085,,0.0,
1,4,5,2,2,2,4,3,1,9.280598897021264e-05,,,0.0
1,4,5,2,2,2,4,3,2,0.09772837700438686,,,0.0
1,4,5,2,2,2,4,3,3,0.00015196400636341423,,,0.0
1,5,5,2,2,2,5,1,1,0.38507336100155953,10.0,,
1,5,5,2,2,2,5,1,2,0.2062187049887143,10.0,,
1,5,5,2,2,2,5,1,3,0.21768300099938642,10.0,,
1,5,5,2,2,2,5,2,1,0.00033797300420701504,,0.0,
1,5,5,2,2,2,5,2,2,0.1164718130021356,,0.0,
1,5,5,2,2,2,5,2,3,0.1193261540029198,,0.0,
1,5,5,2,2,2,5,3,1,0.00013662899436894804,,,0.0
1,5,5,2,2,2,5,3,2,0.10021252499427646,,,0.0
1,5,5,2,2,2,5,3,3,0.0001664589944994077,,,0.0
1,6,5,2,2,2,6,1,1,0.7043606759980321,13.0,,
1,6,5,2,2,2,6,1,2,0.41582584199204575,13.0,,
1,6,5,2,2,2,6,1,3,0.31411851999291684,13.0,,
1,6,5,2,2,2,6,2,1,0.0004750960069941357,,0.0,
1,6,5,2,2,2,6,2,2,0.1273213289969135,,0.0,
1,6,5,2,2,2,6,2,3,0.12335113200242631,,0.0,
1,6,5,2,2,2,6,3,1,8.803499804344028e-05,,,0.0
1,6,5,2,2,2,6,3,2,0.09800079600245226,,,0.0
1,6,5,2,2,2,6,3,3,0.00013436800509225577,,,0.0
1,7,5,2,2,2,7,1,1,0.7946841630036943,17.0,,
1,7,5,2,2,2,7,1,2,0.3227257269900292,17.0,,
1,7,5,2,2,2,7,1,3,0.33416957598819863,17.0,,
1,7,5,2,2,2,7,2,1,0.0005578729906119406,,0.0,
1,7,5,2,2,2,7,2,2,0.13125422300072387,,0.0,
1,7,5,2,2,2,7,2,3,0.1465054330037674,,0.0,
1,7,5,2,2,2,7,3,1,8.480199903715402e-05,,,0.0
1,7,5,2,2,2,7,3,2,0.09613974200328812,,,0.0
1,7,5,2,2,2,7,3,3,0.00016708200564607978,,,0.0
1,8,5,2,2,2,8,1,1,0.9225945310026873,19.0,,
1,8,5,2,2,2,8,1,2,0.45390390600368846,19.0,,
1,8,5,2,2,2,8,1,3,0.3498660429904703,19.0,,
1,8,5,2,2,2,8,2,1,0.0006927829963387921,,0.0,
1,8,5,2,2,2,8,2,2,0.1660620459879283,,0.0,
1,8,5,2,2,2,8,2,3,0.13969514500058722,,0.0,
