i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,11,5,4,2,2,64,116,4096,1.4683630466461182,0.0005831718444824219,0.32445240020751953
2,11,5,4,2,2,21,19,1,0.880995512008667,0.0005013942718505859,0.0003592967987060547
3,11,5,4,2,2,42,38,2,1.2345592975616455,0.0004062652587890625,0.0005934238433837891
4,11,5,4,2,2,43,117,177147,1.2168192863464355,0.00048351287841796875,7.126406908035278
5,11,5,4,2,2,65,295,48828125,1.584958791732788,0.00042247772216796875,2072.0594053268433
6,11,5,4,2,2,31,27,0,1.1725234985351562,0.00040650367736816406,0.0001423358917236328
7,11,5,4,2,2,21,19,1,0.9985487461090088,0.0003368854522705078,0.0002357959747314453
8,11,5,4,2,2,21,19,1,1.003903865814209,0.0005710124969482422,0.00040602684020996094
9,11,5,4,2,2,64,212,1293962,1.7163786888122559,0.0005929470062255859,62.44442939758301
10,11,5,4,2,2,21,19,1,1.1593163013458252,0.0004994869232177734,0.0003674030303955078
11,11,5,4,2,2,21,19,1,1.0069456100463867,0.0003390312194824219,0.0002353191375732422
12,11,5,4,2,2,21,19,1,1.1218938827514648,0.000484466552734375,0.0003705024719238281
13,11,5,4,2,2,42,28,0,1.5317680835723877,0.0003364086151123047,0.0001423358917236328
14,11,5,4,2,2,63,171,177147,1.713045358657837,0.00039196014404296875,8.758096694946289
15,11,5,4,2,2,43,39,3,1.4053974151611328,0.0004260540008544922,0.0007708072662353516
16,11,5,4,2,2,32,58,2048,1.2297794818878174,0.00044274330139160156,0.08319902420043945
17,11,5,4,2,2,32,58,2048,1.2122089862823486,0.00035762786865234375,0.08412456512451172
18,11,5,4,2,2,32,29,2,1.486358642578125,0.0003917217254638672,0.00048065185546875
19,11,5,4,2,2,31,28,1,1.1984302997589111,0.0003521442413330078,0.0002894401550292969
20,11,5,4,2,2,21,19,1,1.0218985080718994,0.00034618377685546875,0.00024890899658203125
21,11,5,4,2,2,21,9,0,1.0876142978668213,0.0003814697265625,0.0001285076141357422
22,11,5,4,2,2,21,19,1,1.021869421005249,0.0003459453582763672,0.00024390220642089844
23,11,5,4,2,2,21,19,1,1.0170881748199463,0.0003440380096435547,0.00023651123046875
24,11,5,4,2,2,32,58,2048,1.1424376964569092,0.0003476142883300781,0.08336758613586426
25,11,5,4,2,2,43,117,177147,1.3771278858184814,0.00044417381286621094,6.511243104934692
26,11,5,4,2,2,21,19,1,1.0262150764465332,0.00042319297790527344,0.0003039836883544922
27,11,5,4,2,2,42,76,2048,1.4894440174102783,0.0003752708435058594,0.10960745811462402
28,11,5,4,2,2,31,56,1024,1.2377538681030273,0.0005176067352294922,0.04462575912475586
29,11,5,4,2,2,21,19,1,1.134002923965454,0.0003204345703125,0.0002396106719970703
30,11,5,4,2,2,21,19,1,1.24294114112854,0.0003445148468017578,0.00024199485778808594
31,11,5,4,2,2,21,19,1,0.9476168155670166,0.0005922317504882812,0.00040721893310546875
32,11,5,4,2,2,32,58,2048,1.1984641551971436,0.0005514621734619141,0.08551740646362305
33,11,5,4,2,2,21,19,1,0.8816328048706055,0.0005996227264404297,0.0004143714904785156
34,11,5,4,2,2,32,58,2048,1.3649580478668213,0.0004551410675048828,0.08573460578918457
35,11,5,4,2,2,21,19,1,1.0273122787475586,0.0003561973571777344,0.00025200843811035156
36,11,5,4,2,2,22,20,2,1.0722150802612305,0.00048732757568359375,0.0004889965057373047
37,11,5,4,2,2,32,29,2,1.1983826160430908,0.00049591064453125,0.0006585121154785156
38,11,5,4,2,2,53,144,177147,1.6084024906158447,0.0004279613494873047,8.273454666137695
39,11,5,4,2,2,32,38,2,1.204690933227539,0.0005342960357666016,0.0007879734039306641
40,11,5,4,2,2,21,19,1,1.0335090160369873,0.0005102157592773438,0.000431060791015625
41,11,5,4,2,2,21,19,1,1.0199453830718994,0.00038361549377441406,0.0002791881561279297
42,11,5,4,2,2,21,19,1,1.2675046920776367,0.00036406517028808594,0.0002582073211669922
43,11,5,4,2,2,32,29,2,1.2420032024383545,0.00035572052001953125,0.0004119873046875
44,11,5,4,2,2,21,19,1,0.9285154342651367,0.0003361701965332031,0.0002434253692626953
