,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
0,1,10,5,4,2,2,30,53,1280,0.29828715324401855,0.00023055076599121094,0.0375370979309082
1,1,10,5,3,2,2,30,60,1024,0.298234224319458,0.00015974044799804688,0.06270456314086914
2,2,10,5,4,2,2,57,153,59049,0.4591681957244873,0.0001513957977294922,1.6586792469024658
3,2,10,5,3,2,2,60,180,59049,0.49091219902038574,0.00016999244689941406,10.955291271209717
4,3,10,5,4,2,2,19,17,1,0.3128199577331543,0.00027298927307128906,0.00010347366333007812
5,3,10,5,3,2,2,20,20,1,0.2667512893676758,0.00015497207641601562,0.00013947486877441406
6,4,10,5,4,2,2,19,17,1,0.32697296142578125,0.0001461505889892578,8.797645568847656e-05
7,4,10,5,3,2,2,20,20,1,0.3326432704925537,0.0001647472381591797,0.0001518726348876953
8,5,10,5,4,2,2,19,17,1,0.2854330539703369,0.00014448165893554688,8.988380432128906e-05
9,5,10,5,3,2,2,20,20,1,0.25994181632995605,0.00015974044799804688,0.00014162063598632812
10,1,11,5,4,2,2,21,9,0,0.25688791275024414,0.000164031982421875,4.1484832763671875e-05
11,1,11,5,3,2,2,22,11,1,0.2787501811981201,0.0001862049102783203,8.559226989746094e-05
12,2,11,5,4,2,2,32,58,2048,0.2964141368865967,0.00016427040100097656,0.047725677490234375
13,2,11,5,3,2,2,33,66,2048,0.3419046401977539,0.00017762184143066406,0.1327221393585205
14,3,11,5,4,2,2,31,56,1024,0.32926273345947266,0.00016617774963378906,0.019571781158447266
15,3,11,5,3,2,2,33,66,2048,0.32971882820129395,0.00018596649169921875,0.13515734672546387
16,4,11,5,4,2,2,31,56,1024,0.31746721267700195,0.00016641616821289062,0.020557165145874023
17,4,11,5,3,2,2,33,66,2048,0.3333299160003662,0.00018453598022460938,0.12904644012451172
18,5,11,5,4,2,2,42,114,118098,0.43882274627685547,0.00017547607421875,2.5591156482696533
19,5,11,5,3,2,2,44,132,177147,0.4944732189178467,0.0001876354217529297,16.065199613571167
20,1,12,5,4,2,2,23,21,1,0.2670290470123291,0.00021219253540039062,0.00011396408081054688
21,1,12,5,3,2,2,24,24,1,0.2629115581512451,0.0001990795135498047,0.0001850128173828125
22,2,12,5,4,2,2,23,10,0,0.3906872272491455,0.0002009868621826172,4.887580871582031e-05
23,2,12,5,3,2,2,24,12,1,0.40076708793640137,0.0002593994140625,0.00011491775512695312
24,3,12,5,4,2,2,23,21,1,0.33252692222595215,0.00037217140197753906,0.0002276897430419922
25,3,12,5,3,2,2,24,24,1,0.32342052459716797,0.0002067089080810547,0.00018548965454101562
26,4,12,5,4,2,2,23,21,1,0.2936580181121826,0.00020575523376464844,0.00011038780212402344
27,4,12,5,3,2,2,24,24,1,0.30626487731933594,0.000335693359375,0.00023484230041503906
28,5,12,5,4,2,2,45,62,2,0.43680262565612793,0.0002040863037109375,0.0003864765167236328
29,5,12,5,3,2,2,48,72,1,0.4185903072357178,0.0003733634948730469,0.0019795894622802734
