,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
0,1,10,5,4,2,2,19,17,1,0.26763439178466797,0.00013780593872070312,8.893013000488281e-05
1,1,10,5,3,2,2,20,20,1,0.3154916763305664,0.00015115737915039062,0.00014829635620117188
2,2,10,5,4,2,2,29,26,2,0.3042893409729004,0.00017261505126953125,0.00016736984252929688
3,2,10,5,3,2,2,30,30,1,0.30719923973083496,0.00017714500427246094,0.0002956390380859375
4,3,10,5,4,2,2,19,17,1,0.2631568908691406,0.00013947486877441406,8.702278137207031e-05
5,3,10,5,3,2,2,20,20,1,0.2628657817840576,0.0001614093780517578,0.0001518726348876953
6,4,10,5,4,2,2,39,70,1536,0.34197020530700684,0.0001437664031982422,0.03244948387145996
7,4,10,5,3,2,2,40,80,1024,0.34441328048706055,0.00016379356384277344,0.10062742233276367
8,5,10,5,4,2,2,29,52,1024,0.3465456962585449,0.0002846717834472656,0.02909541130065918
9,5,10,5,3,2,2,30,60,1024,0.405667781829834,0.00015306472778320312,0.06113910675048828
10,6,10,5,4,2,2,29,52,1024,0.31061887741088867,0.00015020370483398438,0.019650697708129883
11,6,10,5,3,2,2,30,60,1024,0.2986469268798828,0.0002491474151611328,0.09496665000915527
12,7,10,5,4,2,2,19,17,1,0.27833080291748047,0.00023698806762695312,0.0001316070556640625
13,7,10,5,3,2,2,20,20,1,0.25435495376586914,0.00015616416931152344,0.00013375282287597656
14,8,10,5,4,2,2,29,52,1024,0.2737302780151367,0.00015425682067871094,0.016776084899902344
15,8,10,5,3,2,2,30,60,1024,0.30338478088378906,0.00016164779663085938,0.056693077087402344
16,9,10,5,4,2,2,29,52,1024,0.3851430416107178,0.00014781951904296875,0.017627716064453125
17,9,10,5,3,2,2,30,60,1024,0.36881542205810547,0.0001583099365234375,0.05727434158325195
18,10,10,5,4,2,2,29,52,1024,0.28089380264282227,0.00015735626220703125,0.016974925994873047
