i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,11,5,4,2,2,22,20,2,0.8366873264312744,0.0004775524139404297,0.00047206878662109375
2,11,5,4,2,2,52,94,2048,1.398792028427124,0.0005412101745605469,0.1309041976928711
3,11,5,4,2,2,32,58,2048,1.078758716583252,0.0006096363067626953,0.08556008338928223
4,11,5,4,2,2,32,58,2048,1.0525805950164795,0.0006492137908935547,0.08668851852416992
5,11,5,4,2,2,21,19,1,0.9304921627044678,0.0003452301025390625,0.00024271011352539062
6,11,5,4,2,2,21,19,1,1.0550713539123535,0.0003387928009033203,0.0002410411834716797
7,11,5,4,2,2,32,58,2048,1.1066193580627441,0.00047969818115234375,0.1309337615966797
8,11,5,4,2,2,22,20,2,0.9555873870849609,0.0003285408020019531,0.00032019615173339844
9,11,5,4,2,2,21,19,1,0.92592453956604,0.0005555152893066406,0.0003719329833984375
10,11,5,4,2,2,21,19,1,0.7654473781585693,0.0003345012664794922,0.00022983551025390625
11,11,5,4,2,2,31,28,1,0.9541134834289551,0.00043654441833496094,0.00036072731018066406
12,11,5,4,2,2,21,19,1,0.9148569107055664,0.0004360675811767578,0.0003190040588378906
13,11,5,4,2,2,43,58,4,1.291447639465332,0.00036525726318359375,0.0011429786682128906
14,11,5,4,2,2,21,19,1,0.6535828113555908,0.0003943443298339844,0.0002765655517578125
15,11,5,4,2,2,43,78,3072,1.0336313247680664,0.0004889965057373047,0.17003321647644043
16,11,5,4,2,2,21,19,1,1.0446679592132568,0.0003457069396972656,0.00023365020751953125
17,11,5,4,2,2,21,19,1,1.0789573192596436,0.00034546852111816406,0.0002377033233642578
18,11,5,4,2,2,21,19,1,0.8520698547363281,0.0004978179931640625,0.0003459453582763672
19,11,5,4,2,2,53,144,177147,1.391639232635498,0.00037670135498046875,11.668707370758057
20,11,5,4,2,2,22,19,1,1.2449240684509277,0.00046634674072265625,0.00034999847412109375
21,11,5,4,2,2,53,96,3072,1.4329681396484375,0.00035953521728515625,0.1948835849761963
22,11,5,4,2,2,42,38,1024,1.355423927307129,0.0003991127014160156,0.030986309051513672
23,11,5,4,2,2,21,19,1,0.9726858139038086,0.000492095947265625,0.00033926963806152344
