i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
1,3,5,2,2,2,3,1,1,0.2137218219868373,9.0,,
1,3,5,2,2,2,3,1,2,0.20657169600599445,9.0,,
1,3,5,2,2,2,3,1,3,0.18022554498747922,9.0,,
1,3,5,2,2,2,3,2,1,0.0002218610025011003,,9.0,
1,3,5,2,2,2,3,2,2,0.10311845899559557,,9.0,
1,3,5,2,2,2,3,2,3,0.1037358489993494,,9.0,
1,3,5,2,2,2,3,3,1,0.00017508899327367544,,,2.0
1,3,5,2,2,2,3,3,2,0.19811383698834106,,,2.0
1,3,5,2,2,2,3,3,3,0.1893734160112217,,,2.0
1,4,5,2,2,2,4,1,1,0.37269881399697624,12.0,,
1,4,5,2,2,2,4,1,2,0.2598417620174587,12.0,,
1,4,5,2,2,2,4,1,3,0.25326648200280033,12.0,,
1,4,5,2,2,2,4,2,1,0.000263761990936473,,13.0,
1,4,5,2,2,2,4,2,2,0.1148450140026398,,13.0,
1,4,5,2,2,2,4,2,3,0.10785481499624439,,13.0,
1,4,5,2,2,2,4,3,1,0.00015139600145630538,,,0.0
1,4,5,2,2,2,4,3,2,0.2950822430138942,,,0.0
1,4,5,2,2,2,4,3,3,0.3150582749804016,,,0.0
1,5,5,2,2,2,5,1,1,0.3740305230021477,15.0,,
1,5,5,2,2,2,5,1,2,0.3230164289998356,15.0,,
1,5,5,2,2,2,5,1,3,0.24631491300533526,15.0,,
1,5,5,2,2,2,5,2,1,0.00029113798518665135,,16.0,
1,5,5,2,2,2,5,2,2,0.1169121980201453,,16.0,
1,5,5,2,2,2,5,2,3,0.10394970799097791,,16.0,
1,5,5,2,2,2,5,3,1,0.00021890300558879972,,,0.0
1,5,5,2,2,2,5,3,2,0.4021489550068509,,,0.0
1,5,5,2,2,2,5,3,3,0.39211222299491055,,,0.0
1,6,5,2,2,2,6,1,1,0.4055441090022214,18.0,,
1,6,5,2,2,2,6,1,2,0.20522768900264055,18.0,,
1,6,5,2,2,2,6,1,3,0.22409961497760378,18.0,,
1,6,5,2,2,2,6,2,1,0.00031502501224167645,,17.0,
1,6,5,2,2,2,6,2,2,0.11195494999992661,,17.0,
1,6,5,2,2,2,6,2,3,0.11424118699505925,,17.0,
1,6,5,2,2,2,6,3,1,0.000248628988629207,,,0.0
1,6,5,2,2,2,6,3,2,0.5186171070090495,,,0.0
1,6,5,2,2,2,6,3,3,0.5487466670165304,,,0.0
1,7,5,2,2,2,7,1,1,0.5051398729847278,21.0,,
1,7,5,2,2,2,7,1,2,0.20513241598382592,21.0,,
1,7,5,2,2,2,7,1,3,0.21023829199839383,21.0,,
1,7,5,2,2,2,7,2,1,0.0004177170048933476,,19.0,
1,7,5,2,2,2,7,2,2,0.13517331800539978,,19.0,
1,7,5,2,2,2,7,2,3,0.11258162200101651,,19.0,
1,7,5,2,2,2,7,3,1,9.874298120848835e-05,,,0.0
1,7,5,2,2,2,7,3,2,0.0981560219952371,,,0.0
1,7,5,2,2,2,7,3,3,0.00012570101534947753,,,0.0
1,8,5,2,2,2,8,1,1,0.6094661230163183,26.0,,
1,8,5,2,2,2,8,1,2,0.21022063901182264,26.0,,
1,8,5,2,2,2,8,1,3,0.21155009098583832,26.0,,
1,8,5,2,2,2,8,2,1,0.0004806230135727674,,30.0,
1,8,5,2,2,2,8,2,2,0.12314623201382346,,30.0,
1,8,5,2,2,2,8,2,3,0.11786957900039852,,30.0,
1,8,5,2,2,2,8,3,1,0.0003529390087351203,,,0.0
1,8,5,2,2,2,8,3,2,0.6005400120047852,,,0.0
1,8,5,2,2,2,8,3,3,0.6363429260090925,,,0.0
2,3,5,2,2,2,3,1,1,0.1953127600136213,9.0,,
2,3,5,2,2,2,3,1,2,0.17204979399684817,9.0,,
2,3,5,2,2,2,3,1,3,0.17575444400426932,9.0,,
2,3,5,2,2,2,3,2,1,0.0002930290065705776,,18.0,
2,3,5,2,2,2,3,2,2,0.11570278997533023,,18.0,
2,3,5,2,2,2,3,2,3,0.10807738901348785,,18.0,
2,3,5,2,2,2,3,3,1,0.00030986100318841636,,,8.0
2,3,5,2,2,2,3,3,2,0.19137005499214865,,,8.0
2,3,5,2,2,2,3,3,3,0.19071494598756544,,,8.0
2,4,5,2,2,2,4,1,1,0.330951482988894,15.0,,
2,4,5,2,2,2,4,1,2,0.3532085979823023,15.0,,
2,4,5,2,2,2,4,1,3,0.3687240259896498,15.0,,
2,4,5,2,2,2,4,2,1,0.0002549259806983173,,42.0,
2,4,5,2,2,2,4,2,2,0.10660861499491148,,42.0,
2,4,5,2,2,2,4,2,3,0.11300236600800417,,42.0,
2,4,5,2,2,2,4,3,1,0.001443306013243273,,,16.0
2,4,5,2,2,2,4,3,2,0.30893385797389783,,,16.0
2,4,5,2,2,2,4,3,3,0.44927012399421073,,,16.0
2,5,5,2,2,2,5,1,1,0.48324192300788127,22.0,,
2,5,5,2,2,2,5,1,2,0.2548521579883527,22.0,,
2,5,5,2,2,2,5,1,3,0.2647370609920472,22.0,,
2,5,5,2,2,2,5,2,1,0.0004302219895180315,,84.0,
2,5,5,2,2,2,5,2,2,0.1228595839929767,,84.0,
2,5,5,2,2,2,5,2,3,0.13092697999672964,,84.0,
2,5,5,2,2,2,5,3,1,0.003288921987405047,,,32.0
2,5,5,2,2,2,5,3,2,0.5206537909980398,,,32.0
2,5,5,2,2,2,5,3,3,0.5355616960150655,,,32.0
2,6,5,2,2,2,6,1,1,0.5424584040010814,25.0,,
2,6,5,2,2,2,6,1,2,0.2665078039863147,25.0,,
2,6,5,2,2,2,6,1,3,0.2592191389994696,25.0,,
2,6,5,2,2,2,6,2,1,0.0004447219835128635,,90.0,
2,6,5,2,2,2,6,2,2,0.11272585598635487,,90.0,
2,6,5,2,2,2,6,2,3,0.1212973799847532,,90.0,
2,6,5,2,2,2,6,3,1,0.00494684002478607,,,64.0
2,6,5,2,2,2,6,3,2,0.6223786210175604,,,64.0
2,6,5,2,2,2,6,3,3,0.6165499149938114,,,64.0
2,7,5,2,2,2,7,1,1,0.6975064880098216,28.0,,
2,7,5,2,2,2,7,1,2,0.27141133599798195,28.0,,
2,7,5,2,2,2,7,1,3,0.2643469680042472,28.0,,
2,7,5,2,2,2,7,2,1,0.0006022510060574859,,96.0,
2,7,5,2,2,2,7,2,2,0.15266515599796548,,96.0,
2,7,5,2,2,2,7,2,3,0.11895862099481747,,96.0,
2,7,5,2,2,2,7,3,1,0.015762357012135908,,,128.0
2,7,5,2,2,2,7,3,2,0.7296681239968166,,,128.0
2,7,5,2,2,2,7,3,3,0.721504171990091,,,128.0
2,8,5,2,2,2,8,1,1,0.8223132599960081,34.0,,
2,8,5,2,2,2,8,1,2,0.27391464199172333,34.0,,
2,8,5,2,2,2,8,1,3,0.27594478998798877,34.0,,
2,8,5,2,2,2,8,2,1,0.0006110909744165838,,120.0,
2,8,5,2,2,2,8,2,2,0.13170269201509655,,120.0,
2,8,5,2,2,2,8,2,3,0.11909260900574736,,120.0,
2,8,5,2,2,2,8,3,1,0.015584217995638028,,,256.0
2,8,5,2,2,2,8,3,2,0.8626670519879553,,,256.0
2,8,5,2,2,2,8,3,3,0.8304302289907355,,,256.0
3,3,5,2,2,2,3,1,1,0.3261534929915797,17.0,,
3,3,5,2,2,2,3,1,2,0.32951575599145144,17.0,,
3,3,5,2,2,2,3,1,3,0.3341397870099172,17.0,,
3,3,5,2,2,2,3,2,1,0.0002736839815042913,,21.0,
3,3,5,2,2,2,3,2,2,0.11711142398416996,,21.0,
3,3,5,2,2,2,3,2,3,0.10417215601773933,,21.0,
3,3,5,2,2,2,3,3,1,0.0005263380007818341,,,3.0
3,3,5,2,2,2,3,3,2,0.20643336299690418,,,3.0
3,3,5,2,2,2,3,3,3,0.2271886620146688,,,3.0
3,4,5,2,2,2,4,1,1,0.37700937999761663,21.0,,
3,4,5,2,2,2,4,1,2,0.25804126300499775,21.0,,
3,4,5,2,2,2,4,1,3,0.26171722798608243,21.0,,
3,4,5,2,2,2,4,2,1,0.0002336959878448397,,27.0,
3,4,5,2,2,2,4,2,2,0.11057502901530825,,27.0,
3,4,5,2,2,2,4,2,3,0.10132713802158833,,27.0,
3,4,5,2,2,2,4,3,1,0.0005061550182290375,,,3.0
3,4,5,2,2,2,4,3,2,0.30424787901574746,,,3.0
3,4,5,2,2,2,4,3,3,0.30040827998891473,,,3.0
3,5,5,2,2,2,5,1,1,0.4832421629980672,25.0,,
3,5,5,2,2,2,5,1,2,0.26103704000706784,25.0,,
3,5,5,2,2,2,5,1,3,0.25516313599655405,25.0,,
3,5,5,2,2,2,5,2,1,0.0004423240025062114,,39.0,
3,5,5,2,2,2,5,2,2,0.1230273419932928,,39.0,
3,5,5,2,2,2,5,2,3,0.11594624401186593,,39.0,
3,5,5,2,2,2,5,3,1,0.0013311009970493615,,,3.0
3,5,5,2,2,2,5,3,2,0.4099854110099841,,,3.0
3,5,5,2,2,2,5,3,3,0.4158555160101969,,,3.0
3,6,5,2,2,2,6,1,1,0.6590138770116027,29.0,,
3,6,5,2,2,2,6,1,2,0.3230881890049204,29.0,,
3,6,5,2,2,2,6,1,3,0.32430753399967216,29.0,,
3,6,5,2,2,2,6,2,1,0.00039159500738605857,,42.0,
3,6,5,2,2,2,6,2,2,0.1146152279980015,,42.0,
3,6,5,2,2,2,6,2,3,0.1182914940000046,,42.0,
3,6,5,2,2,2,6,3,1,0.0043849309731740505,,,3.0
3,6,5,2,2,2,6,3,2,0.5302533509966452,,,3.0
3,6,5,2,2,2,6,3,3,0.5257675970206037,,,3.0
3,7,5,2,2,2,7,1,1,0.7751097130239941,33.0,,
3,7,5,2,2,2,7,1,2,0.33539680900867097,33.0,,
3,7,5,2,2,2,7,1,3,0.34128245399915613,33.0,,
3,7,5,2,2,2,7,2,1,0.0004598480009008199,,51.0,
3,7,5,2,2,2,7,2,2,0.1292658270103857,,51.0,
3,7,5,2,2,2,7,2,3,0.12158660200657323,,51.0,
3,7,5,2,2,2,7,3,1,0.004196526977466419,,,3.0
