i_sample,n_cores,step,method,execution_time
1,2,1,1,0.8064678560040193
1,2,1,2,0.41716793600062374
1,2,1,3,0.33577550599875394
1,2,2,1,0.0007162039983086288
1,2,2,2,0.03353061300003901
1,2,2,3,0.032507294992683455
1,2,3,1,8.959999831859022e-05
1,2,3,2,0.01413191000756342
1,2,3,3,7.932899461593479e-05
1,4,1,1,0.7477587640023557
1,4,1,2,0.32424570800503716
1,4,1,3,0.230944510010886
1,4,2,1,0.000592412005062215
1,4,2,2,0.04206071600492578
1,4,2,3,0.04326462899916805
1,4,3,1,0.39256855999701656
1,4,3,2,0.9208296970027732
1,4,3,3,0.796881989997928
1,8,1,1,0.6720279259898234
1,8,1,2,0.23656338000728283
1,8,1,3,0.22169694400508888
1,8,2,1,0.0007349840016104281
1,8,2,2,0.07264202799706254
1,8,2,3,0.06854038100573234
1,8,3,1,0.0017963529971893877
1,8,3,2,0.3135550409933785
1,8,3,3,0.3154230250074761
1,12,1,1,0.5387400109902956
1,12,1,2,0.209184835999622
1,12,1,3,0.21415568300290033
1,12,2,1,0.00044532600441016257
1,12,2,2,0.08951434299524408
1,12,2,3,0.0803603319945978
1,12,3,1,0.00020190500072203577
1,12,3,2,0.3972400420025224
1,12,3,3,0.40672735299449414
1,16,1,1,0.7987837770051556
1,16,1,2,0.23741400099243037
1,16,1,3,0.2627486970013706
1,16,2,1,0.0005417979991761968
1,16,2,2,0.08713002099830192
1,16,2,3,0.09024955901259091
1,16,3,1,0.6764490799978375
1,16,3,2,0.9384994240099331
1,16,3,3,1.0307531049911631
1,20,1,1,0.5661036560049979
1,20,1,2,0.3451704309991328
1,20,1,3,0.2510565559932729
1,20,2,1,0.0004598439991241321
1,20,2,2,0.11099095799727365
1,20,2,3,0.11892187599733006
1,20,3,1,0.00023362399952020496
1,20,3,2,0.6037367760000052
1,20,3,3,0.5991748870001175
1,24,1,1,0.5157587499998044
1,24,1,2,0.2689088740007719
1,24,1,3,0.24289596900052857
1,24,2,1,0.0004460019990801811
1,24,2,2,0.13683390399091877
1,24,2,3,0.13156493499991484
1,24,3,1,0.0001762690080795437
1,24,3,2,0.12491364199377131
1,24,3,3,8.426999556832016e-05
2,2,1,1,0.43291643999691587
2,2,1,2,0.25007745300536044
2,2,1,3,0.2367210590018658
2,2,2,1,0.00045455498911906034
2,2,2,2,0.02879585200571455
