i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,3,5,2,2,2,3,47,375,585,0.875218391418457,0.00019073486328125,0.17006444931030273
1,3,5,2,2,2,3,47,375,585,0.875218391418457,0.00019073486328125,0.17006444931030273
1,3,5,2,2,2,4,48,476,477,0.9029684066772461,0.00038552284240722656,0.32955026626586914
1,4,5,2,2,2,4,40,296,4133,0.9302845001220703,0.00018739700317382812,1.229856252670288
1,4,5,2,2,2,4,40,296,4133,0.9302845001220703,0.00018739700317382812,1.229856252670288
1,4,5,2,2,2,5,58,680,4145,1.1093127727508545,0.0004603862762451172,9.173588275909424
1,4,5,2,2,2,4,40,296,4133,0.9302845001220703,0.00018739700317382812,1.229856252670288
1,4,5,2,2,2,5,58,680,4145,1.1093127727508545,0.0004603862762451172,9.173588275909424
1,4,5,2,2,2,6,76,1648,4905,1.430548906326294,0.0005221366882324219,45.58325743675232
1,5,5,2,2,2,5,67,514,37017,1.184492826461792,0.0002865791320800781,4.157423973083496
1,5,5,2,2,2,5,67,514,37017,1.184492826461792,0.0002865791320800781,4.157423973083496
1,5,5,2,2,2,6,68,624,30177,1.3144855499267578,0.00037217140197753906,5.384047269821167
1,5,5,2,2,2,5,67,514,37017,1.184492826461792,0.0002865791320800781,4.157423973083496
1,5,5,2,2,2,6,68,624,30177,1.3144855499267578,0.00037217140197753906,5.384047269821167
1,5,5,2,2,2,7,86,878,31185,1.6502861976623535,0.00036978721618652344,33.585537910461426
1,6,5,2,2,2,6,77,579,331825,1.5833122730255127,0.00024700164794921875,33.63088059425354
1,6,5,2,2,2,6,77,579,331825,1.5833122730255127,0.00024700164794921875,33.63088059425354
1,6,5,2,2,2,7,78,828,268617,1.5743918418884277,0.00033164024353027344,255.94263553619385
1,6,5,2,2,2,6,77,579,331825,1.5833122730255127,0.00024700164794921875,33.63088059425354
1,6,5,2,2,2,7,78,828,268617,1.5743918418884277,0.00033164024353027344,255.94263553619385
1,6,5,2,2,2,8,96,1374,320025,1.814845323562622,0.0004916191101074219,858.8557929992676
1,6,5,2,2,2,6,77,579,331825,1.5833122730255127,0.00024700164794921875,33.63088059425354
1,6,5,2,2,2,7,78,828,268617,1.5743918418884277,0.00033164024353027344,255.94263553619385
1,6,5,2,2,2,8,96,1374,320025,1.814845323562622,0.0004916191101074219,858.8557929992676
1,6,5,2,2,2,9,114,2472,378601,2.21433162689209,0.0012807846069335938,4599.291741847992
2,3,5,2,2,2,3,12,36,27,0.31789541244506836,0.00012946128845214844,0.0014903545379638672
2,3,5,2,2,2,3,12,36,27,0.31789541244506836,0.00012946128845214844,0.0014903545379638672
2,3,5,2,2,2,4,18,72,27,0.5171341896057129,0.00016379356384277344,0.0065059661865234375
2,4,5,2,2,2,4,21,81,81,0.5566859245300293,0.00019407272338867188,0.011429548263549805
2,4,5,2,2,2,4,21,81,81,0.5566859245300293,0.00019407272338867188,0.011429548263549805
2,4,5,2,2,2,5,27,129,81,0.7409992218017578,0.00035572052001953125,0.033751726150512695
2,4,5,2,2,2,4,21,81,81,0.5566859245300293,0.00019407272338867188,0.011429548263549805
2,4,5,2,2,2,5,27,129,81,0.7409992218017578,0.00035572052001953125,0.033751726150512695
2,4,5,2,2,2,6,33,234,81,0.9060342311859131,0.00030350685119628906,0.09959077835083008
2,5,5,2,2,2,5,25,75,243,0.7154772281646729,0.0002644062042236328,0.03966522216796875
2,5,5,2,2,2,5,25,75,243,0.7154772281646729,0.0002644062042236328,0.03966522216796875
2,5,5,2,2,2,6,31,216,243,0.8542568683624268,0.00046062469482421875,0.1930391788482666
2,5,5,2,2,2,5,25,75,243,0.7154772281646729,0.0002644062042236328,0.03966522216796875
2,5,5,2,2,2,6,31,216,243,0.8542568683624268,0.00046062469482421875,0.1930391788482666
2,5,5,2,2,2,7,37,306,243,0.9416742324829102,0.0003399848937988281,0.5104963779449463
2,6,5,2,2,2,6,29,84,729,0.8156166076660156,0.00029158592224121094,0.09729313850402832
2,6,5,2,2,2,6,29,84,729,0.8156166076660156,0.00029158592224121094,0.09729313850402832
2,6,5,2,2,2,7,35,153,729,0.9924511909484863,0.00029468536376953125,0.3186073303222656
2,6,5,2,2,2,6,29,84,729,0.8156166076660156,0.00029158592224121094,0.09729313850402832
2,6,5,2,2,2,7,35,153,729,0.9924511909484863,0.00029468536376953125,0.3186073303222656
2,6,5,2,2,2,8,36,198,729,0.9839873313903809,0.0005197525024414062,0.6032679080963135
2,6,5,2,2,2,6,29,84,729,0.8156166076660156,0.00029158592224121094,0.09729313850402832
2,6,5,2,2,2,7,35,153,729,0.9924511909484863,0.00029468536376953125,0.3186073303222656
2,6,5,2,2,2,8,36,198,729,0.9839873313903809,0.0005197525024414062,0.6032679080963135
2,6,5,2,2,2,9,42,270,729,1.6996939182281494,0.0004367828369140625,1.9276723861694336
3,3,5,2,2,2,3,12,22,2,0.45450854301452637,0.0002281665802001953,0.0005092620849609375
3,3,5,2,2,2,3,12,22,2,0.45450854301452637,0.0002281665802001953,0.0005092620849609375
3,3,5,2,2,2,4,14,34,2,0.5371668338775635,0.0001723766326904297,0.0004553794860839844
3,4,5,2,2,2,4,16,24,2,0.5962123870849609,0.00016427040100097656,0.00046062469482421875
3,4,5,2,2,2,4,16,24,2,0.5962123870849609,0.00016427040100097656,0.00046062469482421875
3,4,5,2,2,2,5,18,44,2,0.6980552673339844,0.0001857280731201172,0.0009076595306396484
3,4,5,2,2,2,4,16,24,2,0.5962123870849609,0.00016427040100097656,0.00046062469482421875
3,4,5,2,2,2,5,18,44,2,0.6980552673339844,0.0001857280731201172,0.0009076595306396484
3,4,5,2,2,2,6,20,62,2,1.5050981044769287,0.00032782554626464844,0.004830360412597656
3,5,5,2,2,2,5,20,24,2,0.9889557361602783,0.0002319812774658203,0.0005679130554199219
3,5,5,2,2,2,5,20,24,2,0.9889557361602783,0.0002319812774658203,0.0005679130554199219
3,5,5,2,2,2,6,22,40,2,0.7897109985351562,0.00036835670471191406,0.0010154247283935547
3,5,5,2,2,2,5,20,24,2,0.9889557361602783,0.0002319812774658203,0.0005679130554199219
3,5,5,2,2,2,6,22,40,2,0.7897109985351562,0.00036835670471191406,0.0010154247283935547
3,5,5,2,2,2,7,24,62,6,0.7283411026000977,0.0003695487976074219,0.0039861202239990234
3,6,5,2,2,2,6,24,34,2,0.7801611423492432,0.0002090930938720703,0.0012078285217285156
3,6,5,2,2,2,6,24,34,2,0.7801611423492432,0.0002090930938720703,0.0012078285217285156
3,6,5,2,2,2,7,26,50,10,0.8837194442749023,0.0002624988555908203,0.004341602325439453
3,6,5,2,2,2,6,24,34,2,0.7801611423492432,0.0002090930938720703,0.0012078285217285156
3,6,5,2,2,2,7,26,50,10,0.8837194442749023,0.0002624988555908203,0.004341602325439453
3,6,5,2,2,2,8,28,66,10,0.9813668727874756,0.00027823448181152344,0.00628972053527832
3,6,5,2,2,2,6,24,34,2,0.7801611423492432,0.0002090930938720703,0.0012078285217285156
3,6,5,2,2,2,7,26,50,10,0.8837194442749023,0.0002624988555908203,0.004341602325439453
3,6,5,2,2,2,8,28,66,10,0.9813668727874756,0.00027823448181152344,0.00628972053527832
3,6,5,2,2,2,9,30,86,4,1.1421091556549072,0.0002963542938232422,0.008527040481567383
4,3,5,2,2,2,3,9,18,8,0.29462218284606934,0.0001990795135498047,0.0004630088806152344
4,3,5,2,2,2,3,9,18,8,0.29462218284606934,0.0001990795135498047,0.0004630088806152344
4,3,5,2,2,2,4,13,52,8,0.4169585704803467,0.00022602081298828125,0.0021543502807617188
4,4,5,2,2,2,4,12,24,16,0.3832576274871826,0.00015807151794433594,0.0007796287536621094
4,4,5,2,2,2,4,12,24,16,0.3832576274871826,0.00015807151794433594,0.0007796287536621094
4,4,5,2,2,2,5,16,42,16,0.48277974128723145,0.00037384033203125,0.0034971237182617188
4,4,5,2,2,2,4,12,24,16,0.3832576274871826,0.00015807151794433594,0.0007796287536621094
4,4,5,2,2,2,5,16,42,16,0.48277974128723145,0.00037384033203125,0.0034971237182617188
4,4,5,2,2,2,6,20,68,16,0.5860686302185059,0.0003190040588378906,0.010033845901489258
4,5,5,2,2,2,5,19,42,48,0.5864593982696533,0.00029206275939941406,0.007063865661621094
4,5,5,2,2,2,5,19,42,48,0.5864593982696533,0.00029206275939941406,0.007063865661621094
4,5,5,2,2,2,6,19,56,32,0.6204783916473389,0.000335693359375,0.01097559928894043
4,5,5,2,2,2,5,19,42,48,0.5864593982696533,0.00029206275939941406,0.007063865661621094
