i_sample,n_local_networks,n_global_edges,v_topology,n_output_variables,n_clauses_function,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
1,7,6,2,2,2,1,1,0.48590670699923066,15.0,,
1,7,6,2,2,2,1,2,0.24730853099754313,15.0,,
1,7,6,2,2,2,1,3,0.25444665900431573,15.0,,
1,7,6,2,2,2,2,1,0.00044067599810659885,,6.0,
1,7,6,2,2,2,2,2,0.14312589100154582,,6.0,
1,7,6,2,2,2,2,3,0.11556633599684574,,6.0,
1,7,6,2,2,2,3,1,9.521900210529566e-05,,,0.0
1,7,6,2,2,2,3,2,0.10026378500333522,,,0.0
1,7,6,2,2,2,3,3,0.0001622929994482547,,,0.0
1,7,7,2,2,2,1,1,0.4385170610039495,33.0,,
1,7,7,2,2,2,1,2,0.21418968299985863,33.0,,
1,7,7,2,2,2,1,3,0.2181676480031456,33.0,,
1,7,7,2,2,2,2,1,0.0003835749957943335,,12.0,
1,7,7,2,2,2,2,2,0.11104829599935329,,12.0,
1,7,7,2,2,2,2,3,0.11349097200582037,,12.0,
1,7,7,2,2,2,3,1,9.476900595473126e-05,,,0.0
1,7,7,2,2,2,3,2,0.0996527530005551,,,0.0
1,7,7,2,2,2,3,3,0.00014396399637917057,,,0.0
1,7,8,2,2,2,1,1,0.5128053369990084,28.0,,
1,7,8,2,2,2,1,2,0.25084763100312557,28.0,,
1,7,8,2,2,2,1,3,0.3064754100050777,28.0,,
1,7,8,2,2,2,2,1,0.0004912709991913289,,14.0,
1,7,8,2,2,2,2,2,0.13454677399568027,,14.0,
1,7,8,2,2,2,2,3,0.11712707400147337,,14.0,
1,7,8,2,2,2,3,1,7.414499850710854e-05,,,0.0
1,7,8,2,2,2,3,2,0.09668482200504513,,,0.0
1,7,8,2,2,2,3,3,0.000146229998790659,,,0.0
1,7,9,2,2,2,1,1,0.8217853989990545,51.0,,
1,7,9,2,2,2,1,2,0.284396529001242,51.0,,
1,7,9,2,2,2,1,3,0.28118655999423936,51.0,,
1,7,9,2,2,2,2,1,0.0006039349973434582,,81.0,
1,7,9,2,2,2,2,2,0.12352545400062809,,81.0,
1,7,9,2,2,2,2,3,0.12362218699854566,,81.0,
1,7,9,2,2,2,3,1,0.04607370399753563,,,3.0
1,7,9,2,2,2,3,2,0.8796323940041475,,,3.0
1,7,9,2,2,2,3,3,0.9068985339981737,,,3.0
1,7,10,2,2,2,1,1,1.4104237240026123,93.0,,
1,7,10,2,2,2,1,2,0.358402832003776,93.0,,
1,7,10,2,2,2,1,3,0.3763947650004411,93.0,,
1,7,10,2,2,2,2,1,0.0012022309965686873,,1015.0,
1,7,10,2,2,2,2,2,0.12896363299660152,,1015.0,
1,7,10,2,2,2,2,3,0.12392803200054914,,1015.0,
1,7,10,2,2,2,3,1,332.478369395998,,,50373.0
1,7,10,2,2,2,3,2,123.2776010009984,,,50373.0
1,7,10,2,2,2,3,3,122.45797799700085,,,50373.0
1,7,11,2,2,2,1,1,0.8750398070042138,52.0,,
1,7,11,2,2,2,1,2,0.43860742800461594,52.0,,
1,7,11,2,2,2,1,3,0.44831490999786183,52.0,,
1,7,11,2,2,2,2,1,0.0007388470039586537,,198.0,
1,7,11,2,2,2,2,2,0.29313296399777755,,198.0,
1,7,11,2,2,2,2,3,0.25916941600007704,,198.0,
1,7,11,2,2,2,3,1,1.2414789230024326,,,432.0
1,7,11,2,2,2,3,2,2.4025953480013413,,,432.0
1,7,11,2,2,2,3,3,2.7277648969975417,,,432.0
2,7,6,2,2,2,1,1,0.33731079900462646,15.0,,
2,7,6,2,2,2,1,2,0.25525984799605794,15.0,,
2,7,6,2,2,2,1,3,0.2959256949980045,15.0,,
2,7,6,2,2,2,2,1,0.0003355230001034215,,17.0,
2,7,6,2,2,2,2,2,0.18144196099456167,,17.0,
2,7,6,2,2,2,2,3,0.18361235899647,,17.0,
2,7,6,2,2,2,3,1,0.00024356799985980615,,,1.0
2,7,6,2,2,2,3,2,1.127918040001532,,,1.0
2,7,6,2,2,2,3,3,1.1607136689999606,,,1.0
2,7,7,2,2,2,1,1,0.5526555280011962,15.0,,
2,7,7,2,2,2,1,2,0.32308352700056275,15.0,,
2,7,7,2,2,2,1,3,0.31836873599968385,15.0,,
2,7,7,2,2,2,2,1,0.0004247559991199523,,8.0,
2,7,7,2,2,2,2,2,0.18854967500374187,,8.0,
2,7,7,2,2,2,2,3,0.17881836299784482,,8.0,
2,7,7,2,2,2,3,1,8.382700616493821e-05,,,0.0
2,7,7,2,2,2,3,2,0.16067332300008275,,,0.0
2,7,7,2,2,2,3,3,0.00014145900058792904,,,0.0
2,7,8,2,2,2,1,1,0.7810833860057755,45.0,,
2,7,8,2,2,2,1,2,0.3964489140053047,45.0,,
2,7,8,2,2,2,1,3,0.3972713359980844,45.0,,
2,7,8,2,2,2,2,1,0.0005531429997063242,,159.0,
2,7,8,2,2,2,2,2,0.18542636799975298,,159.0,
2,7,8,2,2,2,2,3,0.1833364240010269,,159.0,
2,7,8,2,2,2,3,1,0.3396130019973498,,,1365.0
2,7,8,2,2,2,3,2,1.397191310999915,,,1365.0
2,7,8,2,2,2,3,3,2.1999489680019906,,,1365.0
2,7,9,2,2,2,1,1,0.9212048280023737,45.0,,
2,7,9,2,2,2,1,2,0.39877985699422425,45.0,,
2,7,9,2,2,2,1,3,0.38091095900017535,45.0,,
2,7,9,2,2,2,2,1,0.000690952998411376,,136.0,
2,7,9,2,2,2,2,2,0.21582833900174592,,136.0,
2,7,9,2,2,2,2,3,0.1935509600007208,,136.0,
2,7,9,2,2,2,3,1,0.30090662599832285,,,432.0
2,7,9,2,2,2,3,2,1.4703781839998555,,,432.0
2,7,9,2,2,2,3,3,1.4874251739965985,,,432.0
2,7,10,2,2,2,1,1,0.9109564019963727,33.0,,
2,7,10,2,2,2,1,2,0.33392950399866095,33.0,,
2,7,10,2,2,2,1,3,0.3374351930033299,33.0,,
2,7,10,2,2,2,2,1,0.0009254090036847629,,168.0,
2,7,10,2,2,2,2,2,0.20852985399687896,,168.0,
2,7,10,2,2,2,2,3,0.18495092100056354,,168.0,
2,7,10,2,2,2,3,1,0.137487243002397,,,128.0
2,7,10,2,2,2,3,2,1.4177609570033383,,,128.0
2,7,10,2,2,2,3,3,1.452644277997024,,,128.0
2,7,11,2,2,2,1,1,0.5849139469937654,22.0,,
2,7,11,2,2,2,1,2,0.26934917000471614,22.0,,
2,7,11,2,2,2,1,3,0.27148986700194655,22.0,,
2,7,11,2,2,2,2,1,0.0005357199988793582,,37.0,
2,7,11,2,2,2,2,2,0.17086774299968965,,37.0,
2,7,11,2,2,2,2,3,0.1587103769998066,,37.0,
2,7,11,2,2,2,3,1,0.0006530329992529005,,,1.0
2,7,11,2,2,2,3,2,1.893230391004181,,,1.0
2,7,11,2,2,2,3,3,1.6190161909980816,,,1.0
3,7,6,2,2,2,1,1,0.544352445002005,21.0,,
3,7,6,2,2,2,1,2,0.31856944400351495,21.0,,
3,7,6,2,2,2,1,3,0.3035113510049996,21.0,,
3,7,6,2,2,2,2,1,0.0005107319957460277,,19.0,
3,7,6,2,2,2,2,2,0.17448811000213027,,19.0,
3,7,6,2,2,2,2,3,0.160703592999198,,19.0,
3,7,6,2,2,2,3,1,9.529300587018952e-05,,,0.0
3,7,6,2,2,2,3,2,0.14170110599661712,,,0.0
3,7,6,2,2,2,3,3,0.0001591729960637167,,,0.0
3,7,7,2,2,2,1,1,0.512212098998134,27.0,,
3,7,7,2,2,2,1,2,0.27645292400120525,27.0,,
3,7,7,2,2,2,1,3,0.25857126399932895,27.0,,
3,7,7,2,2,2,2,1,0.0004904879970126785,,60.0,
3,7,7,2,2,2,2,2,0.16465027200320037,,60.0,
3,7,7,2,2,2,2,3,0.1505605429993011,,60.0,
3,7,7,2,2,2,3,1,0.00041895399772329256,,,1.0
3,7,7,2,2,2,3,2,0.8699222869981895,,,1.0
3,7,7,2,2,2,3,3,0.8770052160034538,,,1.0
3,7,8,2,2,2,1,1,0.8175456159951864,28.0,,
3,7,8,2,2,2,1,2,0.3344971630067448,28.0,,
3,7,8,2,2,2,1,3,0.34181999300199095,28.0,,
3,7,8,2,2,2,2,1,0.0005933249994996004,,80.0,
3,7,8,2,2,2,2,2,0.16871393600013107,,80.0,
3,7,8,2,2,2,2,3,0.16640529400319792,,80.0,
3,7,8,2,2,2,3,1,0.012719111997284926,,,45.0
3,7,8,2,2,2,3,2,1.032550338000874,,,45.0
3,7,8,2,2,2,3,3,1.0454317670009914,,,45.0
3,7,9,2,2,2,1,1,0.7382573939976282,19.0,,
3,7,9,2,2,2,1,2,0.2946110690027126,19.0,,
3,7,9,2,2,2,1,3,0.4641514989998541,19.0,,
3,7,9,2,2,2,2,1,0.0004879789994447492,,37.0,
3,7,9,2,2,2,2,2,0.16145415799837792,,37.0,
3,7,9,2,2,2,2,3,0.16529843900207197,,37.0,
3,7,9,2,2,2,3,1,0.0005719980035792105,,,1.0
3,7,9,2,2,2,3,2,1.134163811999315,,,1.0
3,7,9,2,2,2,3,3,1.5039026380036375,,,1.0
3,7,10,2,2,2,1,1,0.6007828590009012,33.0,,
3,7,10,2,2,2,1,2,0.2711765209969599,33.0,,
3,7,10,2,2,2,1,3,0.2752826889991411,33.0,,
3,7,10,2,2,2,2,1,0.000726748003216926,,78.0,
3,7,10,2,2,2,2,2,0.17231915199954528,,78.0,
3,7,10,2,2,2,2,3,0.15247472500050208,,78.0,
3,7,10,2,2,2,3,1,0.007260895996296313,,,2.0
3,7,10,2,2,2,3,2,1.3183082590039703,,,2.0
3,7,10,2,2,2,3,3,1.3116598400010844,,,2.0
3,7,11,2,2,2,1,1,1.0534919920028187,36.0,,
3,7,11,2,2,2,1,2,0.3116131589995348,36.0,,
3,7,11,2,2,2,1,3,0.3298016379994806,36.0,,
3,7,11,2,2,2,2,1,0.000660830999549944,,109.0,
3,7,11,2,2,2,2,2,0.17631800600065617,,109.0,
3,7,11,2,2,2,2,3,0.18372845500562107,,109.0,
3,7,11,2,2,2,3,1,0.012053443999320734,,,4.0
3,7,11,2,2,2,3,2,1.4541440949979005,,,4.0
3,7,11,2,2,2,3,3,1.4451694409945048,,,4.0
4,7,6,2,2,2,1,1,0.5145964949988411,21.0,,
4,7,6,2,2,2,1,2,0.25050276899855817,21.0,,
4,7,6,2,2,2,1,3,0.2259237079997547,21.0,,
4,7,6,2,2,2,2,1,0.00035777899756794795,,21.0,
4,7,6,2,2,2,2,2,0.15427854200243019,,21.0,
4,7,6,2,2,2,2,3,0.15569649100507377,,21.0,
4,7,6,2,2,2,3,1,0.0004942289961036295,,,5.0
4,7,6,2,2,2,3,2,0.8650632110002334,,,5.0
4,7,6,2,2,2,3,3,0.8498307010013377,,,5.0
4,7,7,2,2,2,1,1,0.4100643920028233,21.0,,
4,7,7,2,2,2,1,2,0.2232730769974296,21.0,,
4,7,7,2,2,2,1,3,0.2051484600015101,21.0,,
4,7,7,2,2,2,2,1,0.0005076949964859523,,42.0,
4,7,7,2,2,2,2,2,0.15146442699915497,,42.0,
4,7,7,2,2,2,2,3,0.14813141700142296,,42.0,
4,7,7,2,2,2,3,1,0.006871958001283929,,,128.0
4,7,7,2,2,2,3,2,0.9400433320042794,,,128.0
4,7,7,2,2,2,3,3,1.3232987929950468,,,128.0
4,7,8,2,2,2,1,1,0.5986338009970495,23.0,,
4,7,8,2,2,2,1,2,0.32633209800405893,23.0,,
4,7,8,2,2,2,1,3,0.3025916429978679,23.0,,
4,7,8,2,2,2,2,1,0.0005162550005479716,,22.0,
4,7,8,2,2,2,2,2,0.1688115340002696,,22.0,
4,7,8,2,2,2,2,3,0.15998841400141828,,22.0,
4,7,8,2,2,2,3,1,0.00029148400062695146,,,1.0
