i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,3,5,3,2,2,12,24,8,0.11515164375305176,8.296966552734375e-05,0.0005192756652832031
1,4,5,3,2,2,16,32,16,0.16776156425476074,7.152557373046875e-05,0.0009045600891113281
1,5,5,3,2,2,20,40,32,0.20377182960510254,8.463859558105469e-05,0.0021948814392089844
1,6,5,3,2,2,24,48,64,0.2450542449951172,9.560585021972656e-05,0.004897356033325195
1,7,5,3,2,2,28,56,128,0.2603754997253418,0.00012302398681640625,0.013393163681030273
1,8,5,3,2,2,32,64,256,0.31294894218444824,0.00013327598571777344,0.030845165252685547
1,9,5,3,2,2,36,72,512,0.3563551902770996,0.00015807151794433594,0.0616910457611084
2,3,5,3,2,2,6,6,1,0.10608291625976562,7.43865966796875e-05,6.794929504394531e-05
2,4,5,3,2,2,8,8,1,0.12416863441467285,6.437301635742188e-05,6.198883056640625e-05
2,5,5,3,2,2,10,10,1,0.16213011741638184,8.249282836914062e-05,7.867813110351562e-05
2,6,5,3,2,2,12,12,1,0.2033400535583496,0.00012564659118652344,0.00012183189392089844
2,7,5,3,2,2,14,14,1,0.23100733757019043,0.00014257431030273438,0.00014257431030273438
2,8,5,3,2,2,16,16,1,0.25805091857910156,0.00017261505126953125,0.00016117095947265625
2,9,5,3,2,2,18,18,1,0.27227163314819336,0.0001544952392578125,0.00014972686767578125
3,3,5,3,2,2,9,6,1,0.1114506721496582,5.817413330078125e-05,5.221366882324219e-05
3,4,5,3,2,2,12,8,1,0.14457106590270996,7.367134094238281e-05,6.985664367675781e-05
3,5,5,3,2,2,15,10,1,0.1812152862548828,7.939338684082031e-05,7.534027099609375e-05
3,6,5,3,2,2,18,12,1,0.22231197357177734,0.00010061264038085938,9.72747802734375e-05
3,7,5,3,2,2,21,14,1,0.259124755859375,0.00011205673217773438,0.00011181831359863281
3,8,5,3,2,2,24,16,1,0.3116018772125244,0.0001316070556640625,0.00012922286987304688
3,9,5,3,2,2,27,18,1,0.3578357696533203,0.00014853477478027344,0.00015091896057128906
4,3,5,3,2,2,9,18,8,0.1707451343536377,7.724761962890625e-05,0.00026035308837890625
4,4,5,3,2,2,12,24,16,0.1975548267364502,9.560585021972656e-05,0.0006806850433349609
4,5,5,3,2,2,15,30,32,0.23647618293762207,8.58306884765625e-05,0.0012981891632080078
4,6,5,3,2,2,18,36,64,0.27968335151672363,9.679794311523438e-05,0.0029506683349609375
4,7,5,3,2,2,21,42,128,0.34131360054016113,0.0001690387725830078,0.010287284851074219
4,8,5,3,2,2,24,48,256,0.36978888511657715,0.00019240379333496094,0.01923823356628418
4,9,5,3,2,2,27,54,512,0.4227733612060547,0.00017499923706054688,0.03275012969970703
5,3,5,3,2,2,9,18,8,0.10038399696350098,5.91278076171875e-05,0.0002288818359375
5,4,5,3,2,2,12,24,16,0.1458570957183838,7.128715515136719e-05,0.0005443096160888672
5,5,5,3,2,2,15,30,32,0.17678403854370117,0.00012683868408203125,0.0023086071014404297
5,6,5,3,2,2,18,36,64,0.2082045078277588,0.00010347366333007812,0.002892017364501953
5,7,5,3,2,2,21,42,128,0.25629663467407227,0.00010967254638671875,0.006669759750366211
5,8,5,3,2,2,24,48,256,0.29242753982543945,0.000141143798828125,0.01883220672607422
5,9,5,3,2,2,27,54,512,0.31686878204345703,0.00023794174194335938,0.04393911361694336
6,3,5,3,2,2,6,6,1,0.09211015701293945,7.295608520507812e-05,5.269050598144531e-05
6,4,5,3,2,2,8,8,1,0.13823151588439941,7.772445678710938e-05,6.961822509765625e-05
6,5,5,3,2,2,10,10,1,0.18285560607910156,8.249282836914062e-05,7.867813110351562e-05
6,6,5,3,2,2,12,12,1,0.20415425300598145,9.584426879882812e-05,9.441375732421875e-05
6,7,5,3,2,2,14,14,1,0.23375368118286133,0.00019216537475585938,0.00011324882507324219
6,8,5,3,2,2,16,16,1,0.24689602851867676,0.00015020370483398438,0.0001461505889892578
6,9,5,3,2,2,18,18,1,0.30042409896850586,0.00015115737915039062,0.0001461505889892578
7,3,5,3,2,2,6,6,1,0.09089088439941406,5.7697296142578125e-05,5.364418029785156e-05
7,4,5,3,2,2,8,8,1,0.11488199234008789,6.794929504394531e-05,6.318092346191406e-05
7,5,5,3,2,2,10,10,1,0.14991974830627441,7.62939453125e-05,7.390975952148438e-05
7,6,5,3,2,2,12,12,1,0.1942589282989502,0.0001308917999267578,0.0001232624053955078
7,7,5,3,2,2,14,14,1,0.2266223430633545,0.00011181831359863281,0.00012159347534179688
7,8,5,3,2,2,16,16,1,0.2532651424407959,0.00024008750915527344,0.00012636184692382812
7,9,5,3,2,2,18,18,1,0.2764885425567627,0.00019550323486328125,0.00019288063049316406
8,3,5,3,2,2,6,6,1,0.0992283821105957,5.6743621826171875e-05,5.245208740234375e-05
8,4,5,3,2,2,8,8,1,0.12089276313781738,6.914138793945312e-05,6.556510925292969e-05
8,5,5,3,2,2,10,10,1,0.14778423309326172,8.487701416015625e-05,8.034706115722656e-05
8,6,5,3,2,2,12,12,1,0.1869189739227295,0.000152587890625,0.000152587890625
8,7,5,3,2,2,14,14,1,0.21643662452697754,0.00020599365234375,0.0001995563507080078
8,8,5,3,2,2,16,16,1,0.23655462265014648,0.00013494491577148438,0.00012946128845214844
8,9,5,3,2,2,18,18,1,0.2723977565765381,0.0001480579376220703,0.0001468658447265625
9,3,5,3,2,2,6,6,1,0.0916130542755127,6.532669067382812e-05,5.984306335449219e-05
9,4,5,3,2,2,8,8,1,0.11561107635498047,0.00014162063598632812,6.580352783203125e-05
9,5,5,3,2,2,10,10,1,0.1424570083618164,8.368492126464844e-05,0.00010013580322265625
9,6,5,3,2,2,12,12,1,0.17240095138549805,9.369850158691406e-05,9.250640869140625e-05
