i_sample,n_cores,step,method,execution_time
1,2,1,1,0.5944289990002289
1,2,1,2,0.342053467000369
1,2,1,3,0.3432373959803954
1,2,2,1,0.0005602900055237114
1,2,2,2,0.03685341100208461
1,2,2,3,0.04033041500952095
1,2,3,1,0.0315843119751662
1,2,3,2,0.22260401397943497
1,2,3,3,0.25290274200960994
1,4,1,1,0.47598908201325685
1,4,1,2,0.22057058801874518
1,4,1,3,0.17290509003214538
1,4,2,1,0.0007385869976133108
1,4,2,2,0.060266248998232186
1,4,2,3,0.06494612200185657
1,4,3,1,0.00018974702106788754
1,4,3,2,0.04160406196024269
1,4,3,3,0.0001749219954945147
1,8,1,1,0.48247555701527745
1,8,1,2,0.12141128000803292
1,8,1,3,0.3452821699902415
1,8,2,1,0.0004519619978964329
1,8,2,2,0.06212210201192647
1,8,2,3,0.07364793197484687
1,8,3,1,0.002462307980749756
1,8,3,2,0.3513884519925341
1,8,3,3,0.3279365000198595
1,12,1,1,0.42337790405144915
1,12,1,2,0.12997320597060025
1,12,1,3,0.12931515800300986
1,12,2,1,0.00045220396714285016
1,12,2,2,0.0811823810217902
1,12,2,3,0.08442751900292933
1,12,3,1,0.018440442974679172
1,12,3,2,0.46754664595937356
1,12,3,3,0.46584256703499705
1,16,1,1,0.7397021729848348
1,16,1,2,0.2481046330067329
1,16,1,3,0.250674374983646
1,16,2,1,0.0006725360290147364
1,16,2,2,0.10978763696039096
1,16,2,3,0.10413162602344528
1,16,3,1,0.30614940397208557
1,16,3,2,0.803396828006953
1,16,3,3,0.8347679990110919
1,20,1,1,0.5821958979940973
1,20,1,2,0.1855951130273752
1,20,1,3,0.20629756001289934
1,20,2,1,0.0007205590372905135
1,20,2,2,0.12529183097649366
1,20,2,3,0.1212284910143353
1,20,3,1,0.0010035390150733292
1,20,3,2,0.6825726759852841
1,20,3,3,0.6779525529709645
1,24,1,1,0.68971975997556
1,24,1,2,0.2953899599961005
1,24,1,3,0.2901690130238421
1,24,2,1,0.0006120809703134
1,24,2,2,0.13412965001771227
1,24,2,3,0.13555722899036482
1,24,3,1,0.03989258100045845
1,24,3,2,0.8348150289966725
1,24,3,3,0.8456496539874934
2,2,1,1,0.42191564600216225
2,2,1,2,0.2553890559938736
2,2,1,3,0.26163025404093787
2,2,2,1,0.00041667401092126966
2,2,2,2,0.13725190801778808
2,2,2,3,0.14674582402221859
2,2,3,1,0.11576738901203498
2,2,3,2,0.2276639409828931
2,2,3,3,0.2735474960063584
2,4,1,1,0.5007678210386075
2,4,1,2,0.16986846295185387
2,4,1,3,0.1687779930070974
2,4,2,1,0.0006178189651109278
2,4,2,2,0.04442060901783407
2,4,2,3,0.05602181202266365
2,4,3,1,0.0005008039879612625
2,4,3,2,0.24870642501628026
2,4,3,3,0.23541546100750566
2,8,1,1,0.5962354370276444
2,8,1,2,0.29893701703986153
2,8,1,3,0.24845570500474423
2,8,2,1,0.0007946009864099324
2,8,2,2,0.10408021201146767
2,8,2,3,0.07200187299167737
2,8,3,1,0.002499894006177783
2,8,3,2,0.34894582198467106
2,8,3,3,0.3658431189833209
2,12,1,1,0.4197752720210701
