,i_sample,N_LOCAL_NETWORKS,N_VAR_NETWORK,V_TOPOLOGY,N_OUTPUT_VARIABLES,N_CLAUSES_FUNCTION,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
0,1,3,5,4,2,2,12,13,0,0.06721615791320801,2.765655517578125e-05,5.340576171875e-05
1,1,4,5,4,2,2,17,22,0,0.08873510360717773,3.2901763916015625e-05,0.0001246929168701172
2,1,5,5,4,2,2,22,31,0,0.13666772842407227,4.3392181396484375e-05,0.0003788471221923828
3,1,6,5,4,2,2,27,40,0,0.15657615661621094,5.221366882324219e-05,0.0007202625274658203
4,1,7,5,4,2,2,32,49,0,0.1757802963256836,6.198883056640625e-05,0.0015554428100585938
5,1,8,5,4,2,2,37,58,0,0.23744416236877441,6.890296936035156e-05,0.004305362701416016
6,1,9,5,4,2,2,42,67,0,0.24731206893920898,8.368492126464844e-05,0.007825613021850586
