i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,3,5,2,2,2,3,14,20,1,0.5560917854309082,9.393692016601562e-05,0.0001697540283203125
1,3,5,2,2,2,4,18,40,1,0.7951529026031494,0.00012421607971191406,0.0007410049438476562
1,4,5,2,2,2,4,16,16,4,0.572439432144165,0.0001633167266845703,0.0004150867462158203
1,4,5,2,2,2,5,20,28,4,0.7908687591552734,0.00011467933654785156,0.0005986690521240234
1,4,5,2,2,2,6,24,44,4,0.8238422870635986,0.0001418590545654297,0.0020263195037841797
1,5,5,2,2,2,5,20,20,16,0.6222484111785889,0.00012993812561035156,0.0012214183807373047
1,5,5,2,2,2,6,24,36,8,0.8511815071105957,0.0001285076141357422,0.002179384231567383
1,5,5,2,2,2,7,28,72,8,0.9708247184753418,0.00013875961303710938,0.006091594696044922
1,6,5,2,2,2,6,26,30,4,0.9457042217254639,0.00016021728515625,0.0005767345428466797
1,6,5,2,2,2,7,30,62,4,1.0507471561431885,0.00015735626220703125,0.0018410682678222656
1,6,5,2,2,2,8,32,76,8,1.2071104049682617,0.00015878677368164062,0.003920793533325195
1,6,5,2,2,2,9,36,96,8,1.3857660293579102,0.00036835670471191406,0.019687175750732422
1,7,5,2,2,2,7,28,28,8,1.0552699565887451,0.0001647472381591797,0.0007953643798828125
1,7,5,2,2,2,8,32,44,4,1.2554290294647217,0.00025916099548339844,0.004584312438964844
1,7,5,2,2,2,9,36,60,4,1.6044435501098633,0.0003943443298339844,0.014080286026000977
1,7,5,2,2,2,10,40,80,4,1.7879917621612549,0.0005276203155517578,0.02374267578125
1,8,5,2,2,2,8,34,34,16,1.3937294483184814,0.00016832351684570312,0.0019979476928710938
1,8,5,2,2,2,9,38,44,8,1.5848629474639893,0.0005199909210205078,0.007281780242919922
1,8,5,2,2,2,10,42,62,8,1.7890944480895996,0.0003666877746582031,0.014887332916259766
1,8,5,2,2,2,11,46,82,8,1.9978482723236084,0.0002524852752685547,0.019257068634033203
1,8,5,2,2,2,12,48,104,8,2.202779531478882,0.00025963783264160156,0.03823566436767578
1,9,5,2,2,2,9,38,48,16,1.1371722221374512,0.0002446174621582031,0.006315469741821289
