i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,9,5,4,2,2,26,31,10,0.6271729469299316,0.0004169940948486328,0.0011851787567138672
1,9,5,3,2,2,27,36,2,0.6939237117767334,0.00045871734619140625,0.0018930435180664062
2,9,5,4,2,2,51,135,19683,0.9569246768951416,0.0004024505615234375,0.9983201026916504
2,9,5,3,2,2,54,162,19683,1.1128640174865723,0.0006420612335205078,5.655107736587524
3,9,5,4,2,2,26,23,2,0.8231861591339111,0.00039005279541015625,0.0004329681396484375
3,9,5,3,2,2,27,27,1,0.86553955078125,0.00042319297790527344,0.0005545616149902344
4,9,5,4,2,2,17,15,1,0.7359564304351807,0.0004947185516357422,0.0003142356872558594
4,9,5,3,2,2,18,18,1,0.7129569053649902,0.0005221366882324219,0.00040531158447265625
5,9,5,4,2,2,25,44,256,0.7662436962127686,0.00038623809814453125,0.012297391891479492
5,9,5,3,2,2,27,54,512,0.8039908409118652,0.0004754066467285156,0.05792117118835449
6,9,5,4,2,2,25,44,256,0.8631076812744141,0.00045228004455566406,0.010773658752441406
6,9,5,3,2,2,27,54,512,0.8964359760284424,0.0006890296936035156,0.054364919662475586
7,9,5,4,2,2,17,15,1,0.7148308753967285,0.0003631114959716797,0.0002181529998779297
7,9,5,3,2,2,18,18,1,0.729013204574585,0.00034427642822265625,0.0002770423889160156
8,9,5,4,2,2,17,7,0,0.671269416809082,0.000370025634765625,0.00010800361633300781
8,9,5,3,2,2,18,9,0,0.72621750831604,0.00038313865661621094,0.00011301040649414062
9,9,5,4,2,2,17,15,1,0.7291703224182129,0.0003173351287841797,0.00019431114196777344
9,9,5,3,2,2,18,18,1,0.7507293224334717,0.00034356117248535156,0.00028395652770996094
10,9,5,4,2,2,17,15,1,0.6847515106201172,0.0004076957702636719,0.00028777122497558594
10,9,5,3,2,2,18,18,1,0.7338361740112305,0.0003998279571533203,0.00032711029052734375
11,9,5,4,2,2,26,23,2,0.856313943862915,0.0004703998565673828,0.0004668235778808594
11,9,5,3,2,2,27,27,1,0.8503060340881348,0.0006072521209716797,0.0007758140563964844
12,9,5,4,2,2,17,15,1,0.7331845760345459,0.00032639503479003906,0.0002040863037109375
12,9,5,3,2,2,18,18,1,0.74434494972229,0.00041484832763671875,0.00034046173095703125
13,9,5,4,2,2,17,15,1,0.7616324424743652,0.0004222393035888672,0.0002512931823730469
13,9,5,3,2,2,18,18,1,0.8343656063079834,0.0004341602325439453,0.00034356117248535156
14,9,5,4,2,2,52,184,262144,1.405932903289795,0.0003616809844970703,11.686326026916504
