,i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
248,125,10,5,4,2,2,19,8,0,0.7696425914764404,0.0003528594970703125,7.82012939453125e-05
249,125,10,5,3,2,2,20,10,0,0.8592357635498047,0.0004792213439941406,0.000125885009765625
250,126,10,5,4,2,2,19,17,1,0.8709917068481445,0.0004069805145263672,0.0002598762512207031
251,126,10,5,3,2,2,20,20,1,0.7547292709350586,0.0003573894500732422,0.0002770423889160156
252,127,10,5,4,2,2,19,17,1,0.6198511123657227,0.00036907196044921875,0.0001964569091796875
253,127,10,5,3,2,2,20,20,1,0.601860523223877,0.00041103363037109375,0.0002942085266113281
254,128,10,5,4,2,2,40,72,2048,0.9404637813568115,0.00033283233642578125,0.06923651695251465
255,128,10,5,3,2,2,40,80,1024,1.0055205821990967,0.00045561790466308594,0.18218278884887695
256,129,10,5,4,2,2,49,149,184318,0.9083788394927979,0.000461578369140625,8.850593566894531
257,129,10,5,3,2,2,50,170,154451,1.1689796447753906,0.0003921985626220703,35.39880704879761
258,130,10,5,4,2,2,19,17,1,0.7102837562561035,0.0003006458282470703,0.0001678466796875
259,130,10,5,3,2,2,20,20,1,0.7381532192230225,0.0003299713134765625,0.00024962425231933594
260,131,10,5,4,2,2,19,17,1,0.7987990379333496,0.0002505779266357422,0.0001270771026611328
261,131,10,5,3,2,2,20,20,1,0.8340563774108887,0.0002982616424560547,0.00020432472229003906
262,132,10,5,4,2,2,29,43,144,0.6719658374786377,0.0003561973571777344,0.005639314651489258
263,132,10,5,3,2,2,30,50,123,0.7130358219146729,0.00037741661071777344,0.01496124267578125
264,133,10,5,4,2,2,19,17,1,0.8716707229614258,0.0002465248107910156,0.00012731552124023438
265,133,10,5,3,2,2,20,20,1,0.8720767498016357,0.0004341602325439453,0.0003116130828857422
266,134,10,5,4,2,2,19,17,1,0.6700398921966553,0.0003380775451660156,0.00017380714416503906
267,134,10,5,3,2,2,20,20,1,0.6923692226409912,0.00042557716369628906,0.00032138824462890625
268,135,10,5,4,2,2,19,17,1,0.730900764465332,0.0003466606140136719,0.0001888275146484375
269,135,10,5,3,2,2,20,20,1,0.8787178993225098,0.00042510032653808594,0.0003249645233154297
270,136,10,5,4,2,2,28,25,1,0.8777611255645752,0.00022864341735839844,0.0001430511474609375
271,136,10,5,3,2,2,30,30,1,0.8409667015075684,0.00026226043701171875,0.0003135204315185547
272,137,10,5,4,2,2,19,17,1,0.6674354076385498,0.0003082752227783203,0.00016117095947265625
