i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors
1,8,5,2,2,2,8,1,1,0.47611124999821186,24.0,
1,8,5,2,2,2,8,1,2,0.23757463099900633,24.0,
1,8,5,2,2,2,8,1,3,0.20207076400402002,24.0,
1,8,5,2,2,2,8,2,1,0.000475346008897759,,22.0
1,8,5,2,2,2,8,2,2,0.10981449099199381,,22.0
1,8,5,2,2,2,8,2,3,0.13227012399875093,,22.0
1,16,5,2,2,2,16,1,1,1.029495353999664,52.0,
1,16,5,2,2,2,16,1,2,0.23049831700336654,52.0,
1,16,5,2,2,2,16,1,3,0.2407450470054755,52.0,
1,16,5,2,2,2,16,2,1,0.0010324079921701923,,78.0
1,16,5,2,2,2,16,2,2,0.2178421949938638,,78.0
1,16,5,2,2,2,16,2,3,0.1845149270084221,,78.0
1,32,5,2,2,2,32,1,1,2.2475136339926394,104.0,
1,32,5,2,2,2,32,1,2,0.29037233399867546,104.0,
1,32,5,2,2,2,32,1,3,0.2879080970014911,104.0,
1,32,5,2,2,2,32,2,1,0.0021521710004890338,,146.0
1,32,5,2,2,2,32,2,2,0.3132753940008115,,146.0
1,32,5,2,2,2,32,2,3,0.2878201940038707,,146.0
1,64,5,2,2,2,64,1,1,4.571996765997028,206.0,
1,64,5,2,2,2,64,1,2,0.40420215399353765,206.0,
1,64,5,2,2,2,64,1,3,0.3932709209911991,206.0,
1,64,5,2,2,2,64,2,1,0.005970454993075691,,276.0
1,64,5,2,2,2,64,2,2,0.6757182370056398,,276.0
1,64,5,2,2,2,64,2,3,0.7405135209992295,,276.0
1,128,5,2,2,2,128,1,1,8.645779875005246,418.0,
1,128,5,2,2,2,128,1,2,0.7483649939968018,418.0,
1,128,5,2,2,2,128,1,3,1.064497865998419,418.0,
1,128,5,2,2,2,128,2,1,0.02273738299845718,,594.0
1,128,5,2,2,2,128,2,2,1.8575663450028514,,594.0
1,128,5,2,2,2,128,2,3,1.8553835119964788,,594.0
1,256,5,2,2,2,256,1,1,17.816765183000825,848.0,
1,256,5,2,2,2,256,1,2,1.4751062260038452,848.0,
1,256,5,2,2,2,256,1,3,1.7523387479886878,848.0,
1,256,5,2,2,2,256,2,1,0.09038580500055104,,1240.0
1,256,5,2,2,2,256,2,2,3.1052831029955996,,1240.0
1,256,5,2,2,2,256,2,3,3.361749848991167,,1240.0
1,512,5,2,2,2,512,1,1,34.97530240898777,1696.0,
1,512,5,2,2,2,512,1,2,2.5319575300090946,1696.0,
1,512,5,2,2,2,512,1,3,2.50392594699224,1696.0,
1,512,5,2,2,2,512,2,1,0.34322607300418895,,2458.0
1,512,5,2,2,2,512,2,2,6.9276450390025275,,2458.0
1,512,5,2,2,2,512,2,3,7.368802555996808,,2458.0
2,8,5,2,2,2,8,1,1,0.671418181998888,18.0,
2,8,5,2,2,2,8,1,2,0.2861969299992779,18.0,
2,8,5,2,2,2,8,1,3,0.30753175799327437,18.0,
2,8,5,2,2,2,8,2,1,0.0005402700044214725,,24.0
2,8,5,2,2,2,8,2,2,0.19226200100092683,,24.0
2,8,5,2,2,2,8,2,3,0.15383140598714817,,24.0
2,16,5,2,2,2,16,1,1,1.1711625099997036,40.0,
2,16,5,2,2,2,16,1,2,0.3004197859991109,40.0,
2,16,5,2,2,2,16,1,3,0.2849066689959727,40.0,
2,16,5,2,2,2,16,2,1,0.000888887996552512,,64.0
2,16,5,2,2,2,16,2,2,0.22295830000075512,,64.0
2,16,5,2,2,2,16,2,3,0.1941301719925832,,64.0
2,32,5,2,2,2,32,1,1,2.163323783999658,76.0,
2,32,5,2,2,2,32,1,2,0.3548080890031997,76.0,
2,32,5,2,2,2,32,1,3,0.38715684799535666,76.0,
2,32,5,2,2,2,32,2,1,0.003750097006559372,,102.0
2,32,5,2,2,2,32,2,2,0.42041662699193694,,102.0
2,32,5,2,2,2,32,2,3,0.4091203670104733,,102.0
2,64,5,2,2,2,64,1,1,5.529178676995798,158.0,
2,64,5,2,2,2,64,1,2,0.5258171549940016,158.0,
2,64,5,2,2,2,64,1,3,0.5993678100057878,158.0,
2,64,5,2,2,2,64,2,1,0.005192187993088737,,238.0
2,64,5,2,2,2,64,2,2,1.0360927660076413,,238.0
2,64,5,2,2,2,64,2,3,1.277582421011175,,238.0
2,128,5,2,2,2,128,1,1,10.648072846001014,326.0,
2,128,5,2,2,2,128,1,2,0.9196771459974116,326.0,
2,128,5,2,2,2,128,1,3,1.0122363419941394,326.0,
2,128,5,2,2,2,128,2,1,0.023119693010812625,,544.0
2,128,5,2,2,2,128,2,2,2.148013965008431,,544.0
2,128,5,2,2,2,128,2,3,2.292373331001727,,544.0
2,256,5,2,2,2,256,1,1,20.258926472990424,660.0,
2,256,5,2,2,2,256,1,2,1.693560633008019,660.0,
2,256,5,2,2,2,256,1,3,1.4908544720092323,660.0,
2,256,5,2,2,2,256,2,1,0.0924757549946662,,1118.0
2,256,5,2,2,2,256,2,2,4.384642320001149,,1118.0
2,256,5,2,2,2,256,2,3,4.711102875007782,,1118.0
2,512,5,2,2,2,512,1,1,45.68877827099641,1332.0,
2,512,5,2,2,2,512,1,2,3.265031793009257,1332.0,
2,512,5,2,2,2,512,1,3,2.9725548770074965,1332.0,
2,512,5,2,2,2,512,2,1,0.34080956199613865,,2330.0
2,512,5,2,2,2,512,2,2,10.09227538399864,,2330.0
2,512,5,2,2,2,512,2,3,10.027804982993985,,2330.0
3,8,5,2,2,2,8,1,1,0.5942117060039891,51.0,
3,8,5,2,2,2,8,1,2,0.3221721619920572,51.0,
3,8,5,2,2,2,8,1,3,0.3021795450040372,51.0,
3,8,5,2,2,2,8,2,1,0.0006452750094467774,,171.0
3,8,5,2,2,2,8,2,2,0.16138411800784525,,171.0
3,8,5,2,2,2,8,2,3,0.15515980799682438,,171.0
3,16,5,2,2,2,16,1,1,1.4492067170067457,111.0,
3,16,5,2,2,2,16,1,2,0.34585237299324945,111.0,
3,16,5,2,2,2,16,1,3,0.3207275530003244,111.0,
3,16,5,2,2,2,16,2,1,0.0011227299983147532,,414.0
3,16,5,2,2,2,16,2,2,0.18622693700308446,,414.0
3,16,5,2,2,2,16,2,3,0.2046732000017073,,414.0
3,32,5,2,2,2,32,1,1,3.6769394770090003,240.0,
3,32,5,2,2,2,32,1,2,0.3924750820006011,240.0,
3,32,5,2,2,2,32,1,3,0.38855752200470306,240.0,
3,32,5,2,2,2,32,2,1,0.0028984810051042587,,1215.0
3,32,5,2,2,2,32,2,2,0.3103563769982429,,1215.0
3,32,5,2,2,2,32,2,3,0.3013226840121206,,1215.0
3,64,5,2,2,2,64,1,1,7.20568553400517,474.0,
3,64,5,2,2,2,64,1,2,0.7344680320093175,474.0,
3,64,5,2,2,2,64,1,3,0.5660424500092631,474.0,
3,64,5,2,2,2,64,2,1,0.007793013006448746,,2484.0
3,64,5,2,2,2,64,2,2,0.7782243039982859,,2484.0
3,64,5,2,2,2,64,2,3,0.9077334259927738,,2484.0
3,128,5,2,2,2,128,1,1,13.006458321993705,942.0,
3,128,5,2,2,2,128,1,2,1.07929367601173,942.0,
3,128,5,2,2,2,128,1,3,1.3713488939974923,942.0,
3,128,5,2,2,2,128,2,1,0.024282654994749464,,4887.0
3,128,5,2,2,2,128,2,2,1.5271533170016482,,4887.0
3,128,5,2,2,2,128,2,3,1.791899101997842,,4887.0
3,256,5,2,2,2,256,1,1,27.6976687740098,1875.0,
3,256,5,2,2,2,256,1,2,1.9975356799986912,1875.0,
3,256,5,2,2,2,256,1,3,2.2295974690059666,1875.0,
3,256,5,2,2,2,256,2,1,0.09151912698871456,,9252.0
3,256,5,2,2,2,256,2,2,3.140342671002145,,9252.0
3,256,5,2,2,2,256,2,3,3.8359255059913266,,9252.0
3,512,5,2,2,2,512,1,1,52.8603112760029,3780.0,
3,512,5,2,2,2,512,1,2,3.914825675994507,3780.0,
3,512,5,2,2,2,512,1,3,5.0299394839967135,3780.0,
3,512,5,2,2,2,512,2,1,0.5618584240000928,,19170.0
3,512,5,2,2,2,512,2,2,7.565483886995935,,19170.0
3,512,5,2,2,2,512,2,3,7.5508711480069906,,19170.0
4,8,5,2,2,2,8,1,1,0.4434427279920783,24.0,
4,8,5,2,2,2,8,1,2,0.22279918400454335,24.0,
4,8,5,2,2,2,8,1,3,0.2284630429930985,24.0,
4,8,5,2,2,2,8,2,1,0.0003973760030930862,,16.0
4,8,5,2,2,2,8,2,2,0.16960269000264816,,16.0
4,8,5,2,2,2,8,2,3,0.16524139400280546,,16.0
4,16,5,2,2,2,16,1,1,1.1100909499946283,50.0,
4,16,5,2,2,2,16,1,2,0.2719080669921823,50.0,
4,16,5,2,2,2,16,1,3,0.2612033339974005,50.0,
4,16,5,2,2,2,16,2,1,0.0008291349950013682,,56.0
4,16,5,2,2,2,16,2,2,0.200291348999599,,56.0
4,16,5,2,2,2,16,2,3,0.20048708199465182,,56.0
4,32,5,2,2,2,32,1,1,2.505450637996546,110.0,
4,32,5,2,2,2,32,1,2,0.3454721409943886,110.0,
4,32,5,2,2,2,32,1,3,0.34913411299930885,110.0,
4,32,5,2,2,2,32,2,1,0.002506189004634507,,151.0
4,32,5,2,2,2,32,2,2,0.42342020900105126,,151.0
4,32,5,2,2,2,32,2,3,0.4266147930029547,,151.0
4,64,5,2,2,2,64,1,1,4.824879484003759,214.0,
4,64,5,2,2,2,64,1,2,0.5088611700048205,214.0,
4,64,5,2,2,2,64,1,3,0.46851969699491747,214.0,
4,64,5,2,2,2,64,2,1,0.006390290000126697,,276.0
4,64,5,2,2,2,64,2,2,0.8123587769950973,,276.0
4,64,5,2,2,2,64,2,3,0.9334097460086923,,276.0
4,128,5,2,2,2,128,1,1,11.056303435005248,442.0,
4,128,5,2,2,2,128,1,2,0.8372845830017468,442.0,
4,128,5,2,2,2,128,1,3,1.0857877490052488,442.0,
4,128,5,2,2,2,128,2,1,0.024755778998951428,,604.0
4,128,5,2,2,2,128,2,2,1.9145230610010913,,604.0
4,128,5,2,2,2,128,2,3,2.1360276709892787,,604.0
4,256,5,2,2,2,256,1,1,20.625539350003237,870.0,
4,256,5,2,2,2,256,1,2,1.3524351509986445,870.0,
4,256,5,2,2,2,256,1,3,2.0577539109945064,870.0,
4,256,5,2,2,2,256,2,1,0.09116200001153629,,1151.0
4,256,5,2,2,2,256,2,2,3.5093462700024247,,1151.0
4,256,5,2,2,2,256,2,3,3.916379558009794,,1151.0
4,512,5,2,2,2,512,1,1,38.170229316994664,1718.0,
4,512,5,2,2,2,512,1,2,2.7513924939994467,1718.0,
4,512,5,2,2,2,512,1,3,3.6484725620102836,1718.0,
4,512,5,2,2,2,512,2,1,0.3443586169887567,,2199.0
4,512,5,2,2,2,512,2,2,7.7977674919966375,,2199.0
4,512,5,2,2,2,512,2,3,7.783560066003702,,2199.0
5,8,5,2,2,2,8,1,1,0.47998358799668495,31.0,
5,8,5,2,2,2,8,1,2,0.25343108898960054,31.0,
5,8,5,2,2,2,8,1,3,0.28526748600415885,31.0,
5,8,5,2,2,2,8,2,1,0.00045292200229596347,,90.0
5,8,5,2,2,2,8,2,2,0.1682105460058665,,90.0
5,8,5,2,2,2,8,2,3,0.171884716997738,,90.0
5,16,5,2,2,2,16,1,1,1.2725240230065538,80.0,
5,16,5,2,2,2,16,1,2,0.30115455799386837,80.0,
5,16,5,2,2,2,16,1,3,0.284055192998494,80.0,
5,16,5,2,2,2,16,2,1,0.0009830920025706291,,230.0
5,16,5,2,2,2,16,2,2,0.19416032900335267,,230.0
5,16,5,2,2,2,16,2,3,0.20385848700243514,,230.0
5,32,5,2,2,2,32,1,1,2.5266326619894244,146.0,
5,32,5,2,2,2,32,1,2,0.3653661989956163,146.0,
5,32,5,2,2,2,32,1,3,0.3141126609989442,146.0,
5,32,5,2,2,2,32,2,1,0.002424760998110287,,472.0
5,32,5,2,2,2,32,2,2,0.31988000600540545,,472.0
5,32,5,2,2,2,32,2,3,0.3084287300007418,,472.0
5,64,5,2,2,2,64,1,1,4.345239914007834,256.0,
5,64,5,2,2,2,64,1,2,0.47967021199292503,256.0,
5,64,5,2,2,2,64,1,3,0.42220359499333426,256.0,
5,64,5,2,2,2,64,2,1,0.006465639991802163,,756.0
5,64,5,2,2,2,64,2,2,0.6922865920059849,,756.0
5,64,5,2,2,2,64,2,3,0.8889480719954008,,756.0
5,128,5,2,2,2,128,1,1,9.873870212992188,581.0,
5,128,5,2,2,2,128,1,2,0.9800721380015602,581.0,
5,128,5,2,2,2,128,1,3,0.7544382269989001,581.0,
5,128,5,2,2,2,128,2,1,0.02603308399557136,,2180.0
5,128,5,2,2,2,128,2,2,1.5892737109970767,,2180.0
5,128,5,2,2,2,128,2,3,2.295219582010759,,2180.0
5,256,5,2,2,2,256,1,1,19.778217070997925,1145.0,
5,256,5,2,2,2,256,1,2,1.339627321009175,1145.0,
5,256,5,2,2,2,256,1,3,1.4037393239996163,1145.0,
5,256,5,2,2,2,256,2,1,0.09780516399769112,,4094.0
5,256,5,2,2,2,256,2,2,2.9647691690042848,,4094.0
5,256,5,2,2,2,256,2,3,3.391438017002656,,4094.0
5,512,5,2,2,2,512,1,1,40.83023071700882,2347.0,
5,512,5,2,2,2,512,1,2,3.391591278006672,2347.0,
5,512,5,2,2,2,512,1,3,2.7018002819968387,2347.0,
5,512,5,2,2,2,512,2,1,0.35496096999850124,,8386.0
5,512,5,2,2,2,512,2,2,7.006524679003633,,8386.0
5,512,5,2,2,2,512,2,3,7.50062263700238,,8386.0
6,8,5,2,2,2,8,1,1,0.5388354669994442,28.0,
6,8,5,2,2,2,8,1,2,0.26993916199717205,28.0,
6,8,5,2,2,2,8,1,3,0.2588489540066803,28.0,
6,8,5,2,2,2,8,2,1,0.0005872280016774312,,60.0
6,8,5,2,2,2,8,2,2,0.16850722499657422,,60.0
6,8,5,2,2,2,8,2,3,0.1685239009966608,,60.0
6,16,5,2,2,2,16,1,1,1.299364691003575,68.0,
6,16,5,2,2,2,16,1,2,0.2976587469893275,68.0,
6,16,5,2,2,2,16,1,3,0.2750389790016925,68.0,
6,16,5,2,2,2,16,2,1,0.0011116690002381802,,224.0
6,16,5,2,2,2,16,2,2,0.21154434799973387,,224.0
6,16,5,2,2,2,16,2,3,0.210274960991228,,224.0
6,32,5,2,2,2,32,1,1,2.609895756992046,140.0,
6,32,5,2,2,2,32,1,2,0.36341594500117935,140.0,
6,32,5,2,2,2,32,1,3,0.35045790199365,140.0,
6,32,5,2,2,2,32,2,1,0.0025040780019480735,,474.0
6,32,5,2,2,2,32,2,2,0.38528334599686787,,474.0
6,32,5,2,2,2,32,2,3,0.4107263059995603,,474.0
6,64,5,2,2,2,64,1,1,6.267077199998312,284.0,
6,64,5,2,2,2,64,1,2,0.6718105820036726,284.0,
6,64,5,2,2,2,64,1,3,0.5115933750057593,284.0,
6,64,5,2,2,2,64,2,1,0.006504003002191894,,1076.0
6,64,5,2,2,2,64,2,2,0.8917142930004047,,1076.0
6,64,5,2,2,2,64,2,3,1.1094803460000549,,1076.0
6,128,5,2,2,2,128,1,1,10.86832193400187,540.0,
6,128,5,2,2,2,128,1,2,1.1005574599985266,540.0,
6,128,5,2,2,2,128,1,3,0.8178611059993273,540.0,
6,128,5,2,2,2,128,2,1,0.030633272006525658,,1896.0
6,128,5,2,2,2,128,2,2,1.8649029999942286,,1896.0
6,128,5,2,2,2,128,2,3,2.1967510809918167,,1896.0
6,256,5,2,2,2,256,1,1,22.82982840499608,1068.0,
6,256,5,2,2,2,256,1,2,1.9412517940072576,1068.0,
6,256,5,2,2,2,256,1,3,1.6509306410007412,1068.0,
6,256,5,2,2,2,256,2,1,0.10458409499551635,,3684.0
6,256,5,2,2,2,256,2,2,4.262105739995604,,3684.0
6,256,5,2,2,2,256,2,3,4.523595741004101,,3684.0
6,512,5,2,2,2,512,1,1,43.78014097099367,2124.0,
6,512,5,2,2,2,512,1,2,2.823608628998045,2124.0,
6,512,5,2,2,2,512,1,3,3.313223884004401,2124.0,
6,512,5,2,2,2,512,2,1,0.34474029298871756,,7302.0
6,512,5,2,2,2,512,2,2,8.500427744991612,,7302.0
6,512,5,2,2,2,512,2,3,8.424784927003202,,7302.0
7,8,5,2,2,2,8,1,1,0.6890401120035676,17.0,
7,8,5,2,2,2,8,1,2,0.37945441500050947,17.0,
7,8,5,2,2,2,8,1,3,0.36529430700466037,17.0,
7,8,5,2,2,2,8,2,1,0.0006860419962322339,,8.0
7,8,5,2,2,2,8,2,2,0.18063391800387762,,8.0
7,8,5,2,2,2,8,2,3,0.18618057599815074,,8.0
7,16,5,2,2,2,16,1,1,1.8626277820003452,37.0,
7,16,5,2,2,2,16,1,2,0.38673884799936786,37.0,
7,16,5,2,2,2,16,1,3,0.41393556699040346,37.0,
7,16,5,2,2,2,16,2,1,0.0012053719983668998,,17.0
7,16,5,2,2,2,16,2,2,0.2909509700111812,,17.0
7,16,5,2,2,2,16,2,3,0.29715538999880664,,17.0
7,32,5,2,2,2,32,1,1,3.383403924992308,70.0,
7,32,5,2,2,2,32,1,2,0.5068951040011598,70.0,
7,32,5,2,2,2,32,1,3,0.592068679005024,70.0,
7,32,5,2,2,2,32,2,1,0.002166373989894055,,32.0
7,32,5,2,2,2,32,2,2,0.5572358859935775,,32.0
7,32,5,2,2,2,32,2,3,0.6562432840000838,,32.0
7,64,5,2,2,2,64,1,1,7.448345718992641,157.0,
7,64,5,2,2,2,64,1,2,0.7300891210034024,157.0,
7,64,5,2,2,2,64,1,3,0.9582379799976479,157.0,
7,64,5,2,2,2,64,2,1,0.007353146997047588,,99.0
7,64,5,2,2,2,64,2,2,1.9816185959934955,,99.0
7,64,5,2,2,2,64,2,3,2.329065077006817,,99.0
7,128,5,2,2,2,128,1,1,16.30318557600549,313.0,
7,128,5,2,2,2,128,1,2,1.4911480899900198,313.0,
7,128,5,2,2,2,128,1,3,1.1676050990063231,313.0,
7,128,5,2,2,2,128,2,1,0.026758780993986875,,177.0
7,128,5,2,2,2,128,2,2,4.131305589995463,,177.0
7,128,5,2,2,2,128,2,3,4.694263045996195,,177.0
7,256,5,2,2,2,256,1,1,32.038486684003146,630.0,
7,256,5,2,2,2,256,1,2,2.2023935629986227,630.0,
7,256,5,2,2,2,256,1,3,2.408932802005438,630.0,
7,256,5,2,2,2,256,2,1,0.09817380999447778,,368.0
7,256,5,2,2,2,256,2,2,8.157986343008815,,368.0
7,256,5,2,2,2,256,2,3,8.300114679994294,,368.0
7,512,5,2,2,2,512,1,1,64.25419092499942,1255.0,
7,512,5,2,2,2,512,1,2,4.862628459988628,1255.0,
7,512,5,2,2,2,512,1,3,5.460029143010615,1255.0,
7,512,5,2,2,2,512,2,1,0.3930340289953165,,731.0
7,512,5,2,2,2,512,2,2,20.256302253998,,731.0
7,512,5,2,2,2,512,2,3,20.18741921299079,,731.0
8,8,5,2,2,2,8,1,1,0.4650542399904225,32.0,
8,8,5,2,2,2,8,1,2,0.2706250900082523,32.0,
8,8,5,2,2,2,8,1,3,0.2772897159884451,32.0,
8,8,5,2,2,2,8,2,1,0.0006036249978933483,,96.0
8,8,5,2,2,2,8,2,2,0.2137829720013542,,96.0
8,8,5,2,2,2,8,2,3,0.20559471200976986,,96.0
8,16,5,2,2,2,16,1,1,1.4730657689942745,80.0,
8,16,5,2,2,2,16,1,2,0.6341112399968551,80.0,
8,16,5,2,2,2,16,1,3,0.4176527360104956,80.0,
8,16,5,2,2,2,16,2,1,0.0013029510009801015,,342.0
8,16,5,2,2,2,16,2,2,0.25827993599523325,,342.0
8,16,5,2,2,2,16,2,3,0.2636741320020519,,342.0
8,32,5,2,2,2,32,1,1,3.0277034329919843,184.0,
8,32,5,2,2,2,32,1,2,0.47873337399505544,184.0,
8,32,5,2,2,2,32,1,3,0.5515318580000894,184.0,
8,32,5,2,2,2,32,2,1,0.0033363080001436174,,1029.0
8,32,5,2,2,2,32,2,2,0.4538081520004198,,1029.0
8,32,5,2,2,2,32,2,3,0.44852518299012445,,1029.0
8,64,5,2,2,2,64,1,1,5.926299618004123,363.0,
8,64,5,2,2,2,64,1,2,0.6603155610064277,363.0,
8,64,5,2,2,2,64,1,3,0.5909147310012486,363.0,
8,64,5,2,2,2,64,2,1,0.009577611010172404,,1959.0
8,64,5,2,2,2,64,2,2,1.0424545249989023,,1959.0
8,64,5,2,2,2,64,2,3,1.075796798002557,,1959.0
8,128,5,2,2,2,128,1,1,12.610021857006359,731.0,
8,128,5,2,2,2,128,1,2,0.961281969997799,731.0,
8,128,5,2,2,2,128,1,3,1.6939482759917155,731.0,
8,128,5,2,2,2,128,2,1,0.027815166002255864,,3849.0
8,128,5,2,2,2,128,2,2,2.0858340639970265,,3849.0
8,128,5,2,2,2,128,2,3,2.275441450998187,,3849.0
8,256,5,2,2,2,256,1,1,25.138444552008878,1447.0,
