i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,12,5,4,2,2,34,31,1,0.794661283493042,0.0015802383422851562,0.0013413429260253906
1,12,5,3,2,2,36,36,1,0.8850045204162598,0.0018336772918701172,0.004060268402099609
2,12,5,4,2,2,23,21,1,1.0613517761230469,0.0016660690307617188,0.0009641647338867188
2,12,5,3,2,2,24,24,1,1.09360671043396,0.0017573833465576172,0.0017921924591064453
3,12,5,4,2,2,57,104,4096,0.9839813709259033,0.0016655921936035156,1.7344765663146973
3,12,5,3,2,2,60,120,4096,0.9551584720611572,0.0019135475158691406,9.414757013320923
