i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,n_local_attractors,n_pair_attractors,n_attractor_fields,n_time_find_attractors,n_time_find_pairs,n_time_find_fields
1,3,5,2,2,2,3,27,119,101,0.3640739917755127,7.367134094238281e-05,0.022235631942749023
1,3,5,2,2,2,4,28,148,81,0.3506002426147461,8.58306884765625e-05,0.0267336368560791
1,3,5,2,2,2,5,38,456,97,0.48991823196411133,0.000125885009765625,0.15810823440551758
1,3,5,2,2,2,6,48,864,113,0.6387085914611816,0.0001926422119140625,0.8186109066009521
1,4,5,2,2,2,4,33,147,405,0.42499351501464844,8.797645568847656e-05,0.10298848152160645
1,4,5,2,2,2,5,34,170,401,0.42728352546691895,0.00010418891906738281,0.15958404541015625
1,4,5,2,2,2,6,44,386,401,0.6079249382019043,0.0001316070556640625,0.8326294422149658
1,4,5,2,2,2,7,54,744,481,0.7261025905609131,0.00017118453979492188,2.9720747470855713
1,4,5,2,2,2,8,64,1152,561,0.8140866756439209,0.0002148151397705078,8.982321500778198
1,5,5,2,2,2,5,30,110,1617,0.47710657119750977,0.0001595020294189453,0.25147509574890137
1,5,5,2,2,2,6,40,234,1697,0.7005369663238525,0.0001270771026611328,0.6263008117675781
1,5,5,2,2,2,7,50,408,1601,0.726978063583374,0.00015974044799804688,4.356235980987549
1,5,5,2,2,2,8,60,766,1937,0.8209710121154785,0.0002651214599609375,7.2164857387542725
1,5,5,2,2,2,9,70,1124,2465,0.9648783206939697,0.0002722740173339844,36.646238803863525
1,5,5,2,2,2,10,80,1440,2641,1.09330153465271,0.00039076805114746094,37.538644790649414
1,6,5,2,2,2,6,45,227,7157,0.617624044418335,0.000152587890625,0.5845432281494141
1,6,5,2,2,2,7,55,302,10501,0.7291371822357178,0.00019121170043945312,2.361758232116699
1,6,5,2,2,2,8,65,471,10501,0.840672492980957,0.0001533031463623047,14.709954023361206
1,6,5,2,2,2,9,75,977,12101,0.9534225463867188,0.00024628639221191406,137.88583946228027
1,6,5,2,2,2,10,76,920,10001,1.014233112335205,0.0002617835998535156,91.39541673660278
1,6,5,2,2,2,11,86,1320,11201,1.1034250259399414,0.0002796649932861328,324.73064517974854
1,6,5,2,2,2,12,96,1728,13361,1.1591763496398926,0.0003063678741455078,1105.0309376716614
2,3,5,2,2,2,3,14,26,3,0.19823980331420898,9.012222290039062e-05,0.00024080276489257812
2,3,5,2,2,2,4,16,40,4,0.21776700019836426,7.081031799316406e-05,0.0008285045623779297
2,3,5,2,2,2,5,20,74,4,0.26560068130493164,8.702278137207031e-05,0.002337932586669922
2,3,5,2,2,2,6,24,120,4,0.3757035732269287,0.00011086463928222656,0.005459308624267578
2,4,5,2,2,2,4,18,20,8,0.2572145462036133,0.00011324882507324219,0.0007066726684570312
2,4,5,2,2,2,5,20,46,8,0.35013747215270996,9.393692016601562e-05,0.001024484634399414
2,4,5,2,2,2,6,26,88,6,0.4642930030822754,0.00010085105895996094,0.0025124549865722656
2,4,5,2,2,2,7,28,114,8,0.4834308624267578,0.00022125244140625,0.012510061264038086
2,4,5,2,2,2,8,32,160,8,0.5387864112854004,0.00018310546875,0.03681063652038574
2,5,5,2,2,2,5,22,38,12,0.3657948970794678,0.000110626220703125,0.0014467239379882812
2,5,5,2,2,2,6,26,76,8,0.39345502853393555,0.00015425682067871094,0.005604743957519531
2,5,5,2,2,2,7,28,70,12,0.4256303310394287,0.0001437664031982422,0.011941194534301758
2,5,5,2,2,2,8,32,112,12,0.5158774852752686,0.00019407272338867188,0.038414955139160156
2,5,5,2,2,2,9,36,154,9,0.5488383769989014,0.000156402587890625,0.026196956634521484
2,5,5,2,2,2,10,40,200,16,0.5836770534515381,0.00017404556274414062,0.12564349174499512
2,6,5,2,2,2,6,24,36,28,0.39627742767333984,0.00017881393432617188,0.004610538482666016
2,6,5,2,2,2,7,28,58,28,0.5147716999053955,0.00015687942504882812,0.007112264633178711
2,6,5,2,2,2,8,32,84,24,0.559748649597168,0.00018906593322753906,0.022611379623413086
2,6,5,2,2,2,9,36,118,26,0.6016268730163574,0.00017189979553222656,0.050870418548583984
2,6,5,2,2,2,10,40,152,14,0.6215777397155762,0.00016736984252929688,0.12247014045715332
2,6,5,2,2,2,11,44,202,14,0.7472491264343262,0.0002796649932861328,0.11077690124511719
2,6,5,2,2,2,12,48,240,16,0.8403241634368896,0.00032901763916015625,0.17676115036010742
3,3,5,2,2,2,3,6,6,2,0.1357266902923584,5.2928924560546875e-05,4.744529724121094e-05
3,3,5,2,2,2,4,8,14,2,0.246690034866333,0.00014281272888183594,0.00020170211791992188
3,3,5,2,2,2,5,10,28,2,0.4779846668243408,0.00015807151794433594,0.0004951953887939453
3,3,5,2,2,2,6,12,48,2,0.5571184158325195,0.0001010894775390625,0.0006208419799804688
3,4,5,2,2,2,4,8,8,2,0.14371633529663086,7.128715515136719e-05,6.341934204101562e-05
