i_sample,n_cores,step,method,execution_time
1,2,1,1,80.39089372300077
1,2,1,2,39.70329075399786
1,2,1,3,39.81335381499957
1,2,2,1,1.100742532988079
1,2,2,2,2.070338833029382
1,2,2,3,2.0657166469609365
1,4,1,1,67.33441219897941
1,4,1,2,17.278323926962912
1,4,1,3,15.999153780983761
1,4,2,1,1.1488429149612784
1,4,2,2,4.11501662293449
1,4,2,3,4.224397524027154
1,8,1,1,72.24514157092199
1,8,1,2,9.52209922997281
1,8,1,3,9.423241583979689
1,8,2,1,0.9436001679860055
1,8,2,2,5.321760997059755
1,8,2,3,5.182761166011915
1,12,1,1,52.355384120950475
1,12,1,2,5.463914240943268
1,12,1,3,4.9789324790472165
1,12,2,1,0.9693886530585587
1,12,2,2,6.64572303800378
1,12,2,3,6.503409593948163
1,16,1,1,82.8708185099531
1,16,1,2,8.824030052055605
1,16,1,3,7.3737364310072735
1,16,2,1,0.9922856719931588
1,16,2,2,15.466564641916193
1,16,2,3,15.563941715052351
1,20,1,1,66.97330809605774
1,20,1,2,6.178015742916614
1,20,1,3,6.084150157053955
1,20,2,1,0.9783132110023871
1,20,2,2,14.703595467028208
1,20,2,3,14.47935805900488
1,24,1,1,95.63718318601605
1,24,1,2,8.199556077946909
1,24,1,3,8.559675002004951
1,24,2,1,1.0072835349710658
1,24,2,2,26.75772874499671
1,24,2,3,30.953737637028098
2,2,1,1,92.3326774899615
2,2,1,2,45.81829274306074
2,2,1,3,44.67826606496237
2,2,2,1,1.209720168961212
2,2,2,2,3.241445731022395
2,2,2,3,3.3594165180111304
2,4,1,1,101.38146812899504
2,4,1,2,24.269024968962185
2,4,1,3,23.99149857892189
2,4,2,1,1.210097803035751
2,4,2,2,5.828933813958429
2,4,2,3,6.287107547977939
2,8,1,1,85.99507422395982
2,8,1,2,11.147057914058678
2,8,1,3,10.01538129907567
2,8,2,1,1.049574029049836
2,8,2,2,5.404689106973819
2,8,2,3,6.136783479014412
2,12,1,1,89.87188597291242
2,12,1,2,7.931906813988462
2,12,1,3,8.150646291906014
2,12,2,1,1.0097236960427836
2,12,2,2,12.247802841942757
2,12,2,3,12.355875642970204
2,16,1,1,97.32107793306932
2,16,1,2,8.852386849932373
2,16,1,3,8.77011726796627
2,16,2,1,1.0199249919969589
2,16,2,2,17.609572092071176
2,16,2,3,17.172847256064415
2,20,1,1,82.07832235097885
2,20,1,2,7.690571514074691
2,20,1,3,7.022543902043253
2,20,2,1,0.9883053289959207
2,20,2,2,12.78198829991743
2,20,2,3,13.782887673936784
2,24,1,1,133.38862878095824
2,24,1,2,10.227821597014554
2,24,1,3,11.007891998975538
2,24,2,1,0.9975207439856604
2,24,2,2,19.054456316051073
2,24,2,3,20.602982184966095
3,2,1,1,55.10906472010538
3,2,1,2,30.990204387926497
3,2,1,3,30.523967751068994
3,2,2,1,1.2175423940643668
3,2,2,2,2.2532923120306805
3,2,2,3,2.295707429992035
3,4,1,1,65.28421805799007
3,4,1,2,15.79767025099136
3,4,1,3,15.989737680065446
3,4,2,1,1.2113926829770207
3,4,2,2,4.943207892938517
3,4,2,3,5.045218949089758
3,8,1,1,52.7851979319239
3,8,1,2,7.374380161054432
3,8,1,3,7.019700504024513
3,8,2,1,1.0074097579345107
3,8,2,2,5.169516884954646
3,8,2,3,6.3063964899629354
3,12,1,1,84.54679479205515
3,12,1,2,8.093401357997209
3,12,1,3,7.621698732022196
3,12,2,1,0.9906788159860298
3,12,2,2,8.217733061988838
3,12,2,3,9.325280265999027
3,16,1,1,83.71081184304785
3,16,1,2,6.3692119140177965
3,16,1,3,6.684320337953977
3,16,2,1,1.0669464690145105
3,16,2,2,21.35146568797063
3,16,2,3,22.355612676008604
3,20,1,1,54.26109703909606
3,20,1,2,4.609417752944864
3,20,1,3,4.619023389997892
3,20,2,1,1.0025741759454831
3,20,2,2,12.152783137978986
3,20,2,3,12.229546283953823
3,24,1,1,77.23034543299582
3,24,1,2,7.0886929330881685
3,24,1,3,6.074428578023799
3,24,2,1,0.9646114190109074
3,24,2,2,14.60698622406926
3,24,2,3,14.810767723014578
4,2,1,1,88.51020246499684
4,2,1,2,44.92946951405611
4,2,1,3,45.28356899600476
4,2,2,1,1.222763511002995
4,2,2,2,3.1135701700113714
4,2,2,3,3.4276070069754496
4,4,1,1,72.11645916698035
4,4,1,2,16.995594226988032
4,4,1,3,16.642248583957553
4,4,2,1,1.210668634972535
4,4,2,2,4.965303190983832
4,4,2,3,5.151712949038483
4,8,1,1,77.76540257001761
4,8,1,2,10.227219916065224
4,8,1,3,10.025690325070173
4,8,2,1,1.0116384470602497
4,8,2,2,5.439048405969515
4,8,2,3,5.8176845900015905
4,12,1,1,82.42175784998108
4,12,1,2,7.344937809975818
4,12,1,3,8.696694375015795
4,12,2,1,1.002426152001135
4,12,2,2,7.957812509033829
4,12,2,3,8.462266821064986
4,16,1,1,136.26698266610038
4,16,1,2,10.74080451100599
4,16,1,3,10.876731552998535
4,16,2,1,1.030795449973084
4,16,2,2,12.933359105954878
4,16,2,3,13.591255001025274
4,20,1,1,95.73159575101454
4,20,1,2,8.474888467928395
4,20,1,3,7.976727755041793
4,20,2,1,1.0309906949987635
4,20,2,2,20.41988395503722
4,20,2,3,20.418504784000106
4,24,1,1,66.99452513502911
4,24,1,2,5.5729442610172555
4,24,1,3,6.007185725029558
4,24,2,1,1.0245308260200545
4,24,2,2,26.905555248027667
4,24,2,3,23.293664882075973
5,2,1,1,94.3643963719951
5,2,1,2,47.88413820194546
5,2,1,3,47.178108451887965
5,2,2,1,1.1953219029819593
5,2,2,2,2.3731705449754372
5,2,2,3,2.463396043051034
5,4,1,1,62.69957259495277
5,4,1,2,15.467162763001397
5,4,1,3,16.486768477014266
5,4,2,1,1.1695061619393528
5,4,2,2,3.214034372009337
5,4,2,3,3.4451246400130913
5,8,1,1,54.71099589893129
5,8,1,2,7.317717892001383
5,8,1,3,6.851947081973776
5,8,2,1,1.0135985789820552
5,8,2,2,4.710381794953719
5,8,2,3,4.969686168013141
5,12,1,1,69.80066400801297
5,12,1,2,7.427610374055803
5,12,1,3,7.538341625011526
5,12,2,1,0.9943867300171405
5,12,2,2,7.60963855299633
5,12,2,3,7.7688662860309705
5,16,1,1,64.2041250190232
5,16,1,2,5.462122224038467
5,16,1,3,5.679517074022442
5,16,2,1,1.0321688069961965
5,16,2,2,12.733496516011655
5,16,2,3,12.806077692075633
5,20,1,1,74.1171867341036
5,20,1,2,6.598722830065526
5,20,1,3,5.841107266023755
5,20,2,1,0.9814580559032038
5,20,2,2,19.61932765203528
5,20,2,3,19.387467478052713
5,24,1,1,60.101647461997345
5,24,1,2,4.78914007707499
5,24,1,3,4.768668611999601
5,24,2,1,1.0036814929917455
5,24,2,2,18.10046732192859
5,24,2,3,19.26113998796791
