i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors,n_attractor_fields
2,4,5,2,2,2,4,1,1,0.31829262495739385,9.0,,
2,4,5,2,2,2,4,1,2,0.2413017399958335,9.0,,
2,4,5,2,2,2,4,1,3,0.2325428639887832,9.0,,
2,4,5,2,2,2,4,2,1,0.00011002301471307874,,0.0,
2,4,5,2,2,2,4,2,2,0.09956660296302289,,0.0,
2,4,5,2,2,2,4,2,3,0.09699106501648203,,0.0,
2,4,5,2,2,2,4,3,1,7.08739971742034e-05,,,0.0
2,4,5,2,2,2,4,3,2,0.09967765095643699,,,0.0
2,4,5,2,2,2,4,3,3,0.00012721895473077893,,,0.0
2,5,5,2,2,2,5,1,1,0.45233243599068373,12.0,,
2,5,5,2,2,2,5,1,2,0.28850902197882533,12.0,,
2,5,5,2,2,2,5,1,3,0.2640351359732449,12.0,,
2,5,5,2,2,2,5,2,1,0.00011697399895638227,,0.0,
2,5,5,2,2,2,5,2,2,0.09551019797800109,,0.0,
2,5,5,2,2,2,5,2,3,0.09729395702015609,,0.0,
2,5,5,2,2,2,5,3,1,8.522695861756802e-05,,,0.0
2,5,5,2,2,2,5,3,2,0.08699100598460063,,,0.0
2,5,5,2,2,2,5,3,3,0.00013830303214490414,,,0.0
2,6,5,2,2,2,6,1,1,0.6827561900136061,15.0,,
2,6,5,2,2,2,6,1,2,0.40406608599005267,15.0,,
2,6,5,2,2,2,6,1,3,0.41051491402322426,15.0,,
2,6,5,2,2,2,6,2,1,0.00012996501754969358,,0.0,
2,6,5,2,2,2,6,2,2,0.09366223297547549,,0.0,
2,6,5,2,2,2,6,2,3,0.09731533494777977,,0.0,
2,6,5,2,2,2,6,3,1,7.837702287361026e-05,,,0.0
2,6,5,2,2,2,6,3,2,0.09266153798671439,,,0.0
2,6,5,2,2,2,6,3,3,0.0001311550149694085,,,0.0
2,7,5,2,2,2,7,1,1,0.7861844430444762,17.0,,
2,7,5,2,2,2,7,1,2,0.26994357095099986,17.0,,
2,7,5,2,2,2,7,1,3,0.2603988819755614,17.0,,
2,7,5,2,2,2,7,2,1,0.0001381710171699524,,0.0,
2,7,5,2,2,2,7,2,2,0.10293922398705035,,0.0,
2,7,5,2,2,2,7,2,3,0.09421163698425516,,0.0,
2,7,5,2,2,2,7,3,1,7.849099347367883e-05,,,0.0
2,7,5,2,2,2,7,3,2,0.09159654297400266,,,0.0
2,7,5,2,2,2,7,3,3,0.00012865703320130706,,,0.0
2,8,5,2,2,2,8,1,1,0.7533691569697112,20.0,,
2,8,5,2,2,2,8,1,2,0.2676119329989888,20.0,,
2,8,5,2,2,2,8,1,3,0.26222151203546673,20.0,,
2,8,5,2,2,2,8,2,1,0.000166945974342525,,0.0,
2,8,5,2,2,2,8,2,2,0.10450401500565931,,0.0,
2,8,5,2,2,2,8,2,3,0.10001727397320792,,0.0,
2,8,5,2,2,2,8,3,1,7.517100311815739e-05,,,0.0
2,8,5,2,2,2,8,3,2,0.08768261800287291,,,0.0
2,8,5,2,2,2,8,3,3,0.00012841494753956795,,,0.0
2,9,5,2,2,2,9,1,1,0.8850631300010718,22.0,,
2,9,5,2,2,2,9,1,2,0.30749225796898827,22.0,,
2,9,5,2,2,2,9,1,3,0.3058912859996781,22.0,,
2,9,5,2,2,2,9,2,1,0.00021203397773206234,,0.0,
2,9,5,2,2,2,9,2,2,0.10241099802078679,,0.0,
2,9,5,2,2,2,9,2,3,0.09933937899768353,,0.0,
2,9,5,2,2,2,9,3,1,9.098800364881754e-05,,,0.0
2,9,5,2,2,2,9,3,2,0.08994367497507483,,,0.0
2,9,5,2,2,2,9,3,3,0.00013593101175501943,,,0.0
2,10,5,2,2,2,10,1,1,0.9811106839915738,24.0,,
2,10,5,2,2,2,10,1,2,0.30925101903267205,24.0,,
2,10,5,2,2,2,10,1,3,0.31903779500862584,24.0,,
2,10,5,2,2,2,10,2,1,0.00019566400442272425,,0.0,
2,10,5,2,2,2,10,2,2,0.10055990499677137,,0.0,
2,10,5,2,2,2,10,2,3,0.10361630696570501,,0.0,
2,10,5,2,2,2,10,3,1,8.978100959211588e-05,,,0.0
2,10,5,2,2,2,10,3,2,0.0919530899845995,,,0.0
2,10,5,2,2,2,10,3,3,0.00012295600026845932,,,0.0
3,3,5,2,2,2,3,1,1,0.5417231260216795,43.0,,
3,3,5,2,2,2,3,1,2,0.4460269840201363,43.0,,
3,3,5,2,2,2,3,1,3,0.491107233974617,43.0,,
3,3,5,2,2,2,3,2,1,9.25580388866365e-05,,0.0,
3,3,5,2,2,2,3,2,2,0.10058585304068401,,0.0,
3,3,5,2,2,2,3,2,3,0.10757388500496745,,0.0,
3,3,5,2,2,2,3,3,1,7.5404008384794e-05,,,0.0
3,3,5,2,2,2,3,3,2,0.09132033301284537,,,0.0
3,3,5,2,2,2,3,3,3,0.00014982698485255241,,,0.0
3,4,5,2,2,2,4,1,1,0.5387922109803185,44.0,,
3,4,5,2,2,2,4,1,2,0.22743516199989244,44.0,,
3,4,5,2,2,2,4,1,3,0.2362687279819511,44.0,,
