i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors
1,8,5,2,2,2,8,1,1,0.7793154829996638,34.0,
1,8,5,2,2,2,8,1,2,0.295599236007547,34.0,
1,8,5,2,2,2,8,1,3,0.31829998499597423,34.0,
1,8,5,2,2,2,8,2,1,0.0004834989958908409,,48.0
1,8,5,2,2,2,8,2,2,0.11984378099441528,,48.0
1,8,5,2,2,2,8,2,3,0.11562380500254221,,48.0
1,16,5,2,2,2,16,1,1,1.8784120159980375,72.0,
1,16,5,2,2,2,16,1,2,0.3457322269969154,72.0,
1,16,5,2,2,2,16,1,3,0.3419031259982148,72.0,
1,16,5,2,2,2,16,2,1,0.001964076000149362,,126.0
1,16,5,2,2,2,16,2,2,0.19035282300319523,,126.0
1,16,5,2,2,2,16,2,3,0.1715643239876954,,126.0
1,32,5,2,2,2,32,1,1,3.760133074989426,152.0,
1,32,5,2,2,2,32,1,2,0.41588122000393923,152.0,
1,32,5,2,2,2,32,1,3,0.4029154860036215,152.0,
1,32,5,2,2,2,32,2,1,0.0024501579900970683,,308.0
1,32,5,2,2,2,32,2,2,0.3557516279979609,,308.0
1,32,5,2,2,2,32,2,3,0.3421026080031879,,308.0
1,64,5,2,2,2,64,1,1,7.709923594011343,316.0,
1,64,5,2,2,2,64,1,2,0.9783003030024702,316.0,
1,64,5,2,2,2,64,1,3,0.6604348779947031,316.0,
1,64,5,2,2,2,64,2,1,0.0071895599976414815,,710.0
1,64,5,2,2,2,64,2,2,1.1536867270042421,,710.0
1,64,5,2,2,2,64,2,3,1.2798106830014149,,710.0
1,128,5,2,2,2,128,1,1,17.355323764990317,628.0,
1,128,5,2,2,2,128,1,2,1.1777893160033273,628.0,
1,128,5,2,2,2,128,1,3,1.6060591770074097,628.0,
1,128,5,2,2,2,128,2,1,0.02511555899400264,,1430.0
1,128,5,2,2,2,128,2,2,2.30760863199248,,1430.0
1,128,5,2,2,2,128,2,3,2.4985441789904144,,1430.0
1,256,5,2,2,2,256,1,1,33.26593935699202,1282.0,
1,256,5,2,2,2,256,1,2,2.61679504600761,1282.0,
1,256,5,2,2,2,256,1,3,2.44187461900583,1282.0,
1,256,5,2,2,2,256,2,1,0.11876148599549197,,3056.0
1,256,5,2,2,2,256,2,2,5.067113539000275,,3056.0
1,256,5,2,2,2,256,2,3,5.846731829995406,,3056.0
1,512,5,2,2,2,512,1,1,68.01215326899546,2562.0,
1,512,5,2,2,2,512,1,2,4.761555926990695,2562.0,
1,512,5,2,2,2,512,1,3,4.996380349009996,2562.0,
1,512,5,2,2,2,512,2,1,0.3654979669954628,,6080.0
1,512,5,2,2,2,512,2,2,11.572082744009094,,6080.0
1,512,5,2,2,2,512,2,3,11.4776938540017,,6080.0
1,1024,5,2,2,2,1024,1,1,139.320564818001,5076.0,
1,1024,5,2,2,2,1024,1,2,11.056089880003128,5076.0,
1,1024,5,2,2,2,1024,1,3,10.793180560998735,5076.0,
1,1024,5,2,2,2,1024,2,1,1.6909427659993526,,11730.0
1,1024,5,2,2,2,1024,2,2,26.908362563000992,,11730.0
1,1024,5,2,2,2,1024,2,3,27.737532498998917,,11730.0
2,8,5,2,2,2,8,1,1,0.6282812330027809,27.0,
2,8,5,2,2,2,8,1,2,0.36254590199678205,27.0,
2,8,5,2,2,2,8,1,3,0.3781267020094674,27.0,
2,8,5,2,2,2,8,2,1,0.0006130630063125864,,56.0
