i_sample,n_local_networks,n_var_network,v_topology,n_output_variables,n_clauses_function,n_edges,step,method,execution_time,n_local_attractors,n_pair_attractors
1,8,5,2,2,2,8,1,1,0.21580771100002494,32.0,
1,8,5,2,2,2,8,1,2,0.22141441100006887,32.0,
1,8,5,2,2,2,8,1,3,0.13401780700019117,32.0,
1,8,5,2,2,2,8,2,1,0.00021539999988817726,,96.0
1,8,5,2,2,2,8,2,2,0.031420102000083716,,96.0
1,8,5,2,2,2,8,2,3,0.05011950200014326,,96.0
1,16,5,2,2,2,16,1,1,0.6228272319999633,81.0,
1,16,5,2,2,2,16,1,2,0.23609841200004666,81.0,
1,16,5,2,2,2,16,1,3,0.19053781000002346,81.0,
1,16,5,2,2,2,16,2,1,0.0009738000001107139,,411.0
1,16,5,2,2,2,16,2,2,0.06404120300021532,,411.0
1,16,5,2,2,2,16,2,3,0.051795803000004526,,411.0
1,32,5,2,2,2,32,1,1,1.4727735760000087,179.0,
1,32,5,2,2,2,32,1,2,0.49563232600007723,179.0,
1,32,5,2,2,2,32,1,3,0.38709091900000203,179.0,
1,32,5,2,2,2,32,2,1,0.0012652010000238079,,987.0
1,32,5,2,2,2,32,2,2,0.1068525050000062,,987.0
1,32,5,2,2,2,32,2,3,0.10017950500014194,,987.0
2,8,5,2,2,2,8,1,1,0.28575271499994415,17.0,
2,8,5,2,2,2,8,1,2,0.1078225050000583,17.0,
2,8,5,2,2,2,8,1,3,0.14671190800004297,17.0,
2,8,5,2,2,2,8,2,1,0.0001471000000492495,,16.0
2,8,5,2,2,2,8,2,2,0.044838902000037706,,16.0
2,8,5,2,2,2,8,2,3,0.03603110199992443,,16.0
2,16,5,2,2,2,16,1,1,0.5881110299999364,38.0,
2,16,5,2,2,2,16,1,2,0.17773300900012146,38.0,
2,16,5,2,2,2,16,1,3,0.19195070999990094,38.0,
2,16,5,2,2,2,16,2,1,0.0004087999998318992,,55.0
2,16,5,2,2,2,16,2,2,0.07434410400014713,,55.0
2,16,5,2,2,2,16,2,3,0.07654420400012896,,55.0
2,32,5,2,2,2,32,1,1,1.1067381560001195,79.0,
2,32,5,2,2,2,32,1,2,0.33164671300005466,79.0,
2,32,5,2,2,2,32,1,3,0.28994611000007353,79.0,
2,32,5,2,2,2,32,2,1,0.0008926000000428758,,135.0
2,32,5,2,2,2,32,2,2,0.13609110500010502,,135.0
2,32,5,2,2,2,32,2,3,0.09114200399994843,,135.0
3,8,5,2,2,2,8,1,1,0.23561670900016907,17.0,
3,8,5,2,2,2,8,1,2,0.09390110399999685,17.0,
3,8,5,2,2,2,8,1,3,0.16727340600004936,17.0,
3,8,5,2,2,2,8,2,1,0.0003251999999065447,,16.0
3,8,5,2,2,2,8,2,2,0.0665316019999409,,16.0
3,8,5,2,2,2,8,2,3,0.04864750199999435,,16.0
3,16,5,2,2,2,16,1,1,0.664097424999909,39.0,
3,16,5,2,2,2,16,1,2,0.18281850599987592,39.0,
3,16,5,2,2,2,16,1,3,0.17337790700003097,39.0,
